author,2020,2021,2022,2023,2024
Nathan Inkawhich,4,1,0,0,0
Andrew Gardner,2,0,0,0,0
Andrew Touchet,2,0,0,0,0
Wesley Wilkes,2,0,0,0,0
Heath Berry,2,0,0,0,0
Hai Li,2,3,0,0,0
Yuning You,2,0,0,0,0
Tianlong Chen,6,1,3,0,0
Yongduo Sui,1,0,0,0,0
Ting Chen,3,0,1,0,0
Zhangyang Wang,6,2,5,0,0
Yang Shen,2,0,0,0,0
Josue Nassar,2,0,0,0,0
Piotr A. Sokól,2,0,0,0,0
SueYeon Chung,2,1,0,0,0
Kenneth D. Harris,2,0,0,0,0
Il Memming Park,2,0,0,0,0
Yaoqing Yang,2,0,1,0,0
Rajiv Khanna,2,0,0,0,0
Yaodong Yu,2,0,2,0,0
Amir Gholami,2,0,0,0,0
Kurt Keutzer,2,0,0,0,0
Joseph E. Gonzalez,2,0,0,0,0
Kannan Ramchandran,2,0,1,0,0
Michael W. Mahoney,2,0,1,0,0
Zhe Gan,2,0,0,0,0
Yen-Chun Chen,2,0,0,0,0
Linjie Li,2,0,0,0,0
Chen Zhu,2,0,1,1,0
Yu Cheng,2,0,0,3,0
Jingjing Liu,2,0,0,0,0
Amit Daniely,2,0,0,0,0
Hadas Shacham,2,0,0,0,0
Louis Chen,2,0,0,0,1
Divya Padmanabhan,2,0,0,0,0
Chee Chin Lim,2,0,0,0,0
Karthik Natarajan,2,0,0,0,0
Jiawei Zhang,2,1,2,1,0
Peijun Xiao,2,0,0,0,0
Ruoyu Sun,2,0,1,1,0
Zhi-Quan Luo,2,0,1,1,0
Haotao Wang,2,1,2,0,0
Shupeng Gui,2,0,0,0,0
Ting-Kuei Hu,2,0,0,0,0
Ji Liu,2,0,1,0,0
Tianyu Pang,4,1,2,4,1
Xiao Yang,2,1,1,1,4
Yinpeng Dong,4,1,4,0,5
Taufik Xu,2,0,0,0,0
Jun Zhu,4,2,4,0,3
Hang Su,5,1,2,0,4
Zhijie Deng,2,0,0,0,0
Marc Fischer,2,1,1,1,1
Maximilian Baader,2,1,0,0,2
Martin T. Vechev,4,2,2,3,5
Hongwei Jin,2,0,1,0,0
Zhan Shi,2,1,0,1,0
Venkata Jaya Shankar Ashish Peruri,2,0,0,0,0
Xinhua Zhang,4,2,1,1,0
Alex Wong,2,0,0,0,0
Safa Cicek,2,0,0,0,0
Stefano Soatto,2,0,0,0,0
Yao-Yuan Yang,2,1,1,0,0
Cyrus Rashtchian,2,0,0,1,0
Hongyang Zhang,4,0,3,1,0
Ruslan Salakhutdinov,2,1,0,0,0
Kamalika Chaudhuri,3,3,0,1,0
Asaf B. Cassel,1,0,0,0,0
Tomer Koren,3,0,0,0,0
Avishek Joey Bose,2,0,0,0,0
Gauthier Gidel,2,2,0,0,2
Hugo Berard,3,1,0,0,0
Andre Cianflone,2,0,0,0,0
Pascal Vincent,3,0,0,1,0
Simon Lacoste-Julien,3,1,0,0,0
William L. Hamilton,2,0,0,0,0
Pinar Ozisik,2,0,0,0,0
Philip S. Thomas,2,0,0,0,0
Xu Yang,2,0,0,0,1
Cheng Deng,2,0,0,0,0
Kun Wei,2,0,0,0,0
Junchi Yan,2,0,3,0,1
Wei Liu,2,0,0,2,2
Nika Haghtalab,2,0,1,1,0
Tim Roughgarden,2,0,0,1,0
Abhishek Shetty,2,0,1,1,1
Xiang Zhang,2,0,0,1,0
Marinka Zitnik,2,0,0,0,0
Han Zhao,3,1,0,1,0
Jianfeng Chi,2,0,0,0,0
Yuan Tian,2,1,0,1,0
Geoffrey J. Gordon,3,1,0,0,0
Nick Bishop,3,0,0,0,0
Long Tran-Thanh,4,0,0,0,0
Enrico H. Gerding,2,0,0,0,0
Harshay Shah,2,1,0,0,1
Kaustav Tamuly,2,0,0,0,0
Prateek Jain,2,1,0,1,0
Praneeth Netrapalli,2,1,0,0,0
Kai Wang,1,0,1,0,0
Bryan Wilder,2,0,0,0,0
Andrew Perrault,2,0,0,0,0
Milind Tambe,2,0,0,0,0
Wei Tang,2,0,0,0,0
Chien-Ju Ho,2,0,0,0,0
Zichuan Lin,2,0,0,0,0
Garrett Thomas,2,0,0,0,0
Guangwen Yang,2,0,0,0,0
Tengyu Ma,3,0,0,0,0
Jongheon Jeong,2,1,0,1,0
Jinwoo Shin,4,3,0,1,0
Paula Gradu,2,0,0,0,0
John Hallman,2,0,0,0,0
Elad Hazan,2,0,0,2,0
Vishaal Krishnan,2,0,0,0,0
Abed AlRahman Al Makdah,2,0,0,0,0
Fabio Pasqualetti,2,0,0,0,0
Xiaoyi Dong,2,0,0,0,0
Dongdong Chen,4,0,0,0,0
Jianmin Bao,2,0,0,0,0
Chuan Qin,2,0,0,0,0
Lu Yuan,2,0,0,0,0
Weiming Zhang,4,0,0,0,1
Nenghai Yu,4,0,0,0,1
Dong Chen,2,0,0,0,0
Pranjal Awasthi,3,2,3,0,0
Himanshu Jain,2,0,0,0,0
Ankit Singh Rawat,4,0,0,0,0
Aravindan Vijayaraghavan,2,0,0,0,0
Steffen Schneider,2,0,0,0,0
Evgenia Rusak,2,0,0,0,0
Luisa Eck,2,0,0,0,0
Oliver Bringmann,2,0,0,0,0
Matthias Bethge,2,1,0,0,0
Mao Li,2,0,0,0,0
Yingyi Ma,2,0,0,0,0
Hisham Husain,2,0,0,0,0
Samuel B. Hopkins,2,0,1,0,0
Jerry Li,3,1,0,0,0
Fred Zhang,2,0,0,1,0
Cheng-Hsin Weng,2,0,0,0,0
Yan-Ting Lee,2,0,0,0,0
Shan-Hung Wu,3,1,0,0,0
W. Ronny Huang,2,0,0,0,0
Jonas Geiping,4,1,2,2,1
Liam Fowl,5,1,2,0,0
Gavin Taylor,2,0,0,0,0
Dingwen Zhang,1,0,0,0,0
Haibin Tian,1,0,0,0,0
Jungong Han,1,0,0,0,0
Nishanth Dikkala,1,0,0,0,0
Greg Lewis,1,0,0,0,0
Lester Mackey,1,0,0,0,0
Vasilis Syrgkanis,1,0,1,0,0
Jiancheng Yang,2,0,0,0,0
Yangzhou Jiang,2,0,0,0,0
Xiaoyang Huang,2,0,0,0,0
Bingbing Ni,2,0,0,0,0
Chenglong Zhao,2,0,0,0,0
Adarsh K. Jeewajee,2,0,0,0,0
Leslie Pack Kaelbling,2,0,0,0,0
Joel Dapello,2,1,1,0,0
Tiago Marques,2,1,0,0,0
Martin Schrimpf,2,0,0,0,0
Franziska Geiger,2,0,0,0,0
David D. Cox,2,2,0,0,0
James J. DiCarlo,2,1,1,1,0
Zayd Hammoudeh,2,0,0,0,0
Daniel Lowd,2,0,0,0,0
Simon Geisler,2,1,2,1,0
Daniel Zügner,2,2,0,1,0
Stephan Günnemann,3,2,4,3,2
Da Xu,2,0,0,0,0
Chuanwei Ruan,2,0,0,0,0
Evren Körpeoglu,2,0,0,0,0
Sushant Kumar,2,0,0,0,0
Kannan Achan,2,0,0,0,0
Zifan Wang,2,1,1,1,0
Haofan Wang,2,0,0,0,0
Shakul Ramkumar,2,0,0,0,0
Piotr Mardziel,2,0,0,0,0
Matt Fredrikson,2,2,1,1,2
Anupam Datta,2,0,1,0,0
Sascha Saralajew,2,0,0,0,0
Lars Holdijk,2,0,0,0,0
Thomas Villmann,2,0,0,0,0
Taojiannan Yang,2,0,0,0,0
Sijie Zhu,2,0,0,0,0
Chen Chen,2,0,1,2,0
Idan Amir,2,0,0,0,0
Idan Attias,2,0,1,1,0
Roi Livni,2,0,0,0,0
Evrard Garcelon,2,0,0,0,0
Baptiste Rozière,2,0,0,0,0
Laurent Meunier,2,1,2,1,0
Jean Tarbouriech,2,0,0,0,0
Olivier Teytaud,2,0,0,0,0
Alessandro Lazaric,2,0,0,0,0
Matteo Pirotta,2,0,0,0,0
Long Zhao,2,0,0,0,0
Ting Liu,2,0,0,0,0
Xi Peng,2,0,0,0,0
Dimitris N. Metaxas,2,0,0,0,0
Jy-yong Sohn,4,0,0,0,0
Dong-Jun Han,2,1,0,1,0
Beongjun Choi,2,0,0,0,0
Jaekyun Moon,2,1,0,1,0
Omar Montasser,5,0,2,1,1
Steve Hanneke,2,0,3,4,1
Nati Srebro,2,0,1,1,1
Alexander Amini,2,0,1,0,0
Wilko Schwarting,2,0,0,0,0
Ava Soleimany,2,0,0,0,0
Daniela Rus,2,0,1,0,0
Kevin Roth,2,0,0,0,0
Yannic Kilcher,2,0,0,0,0
Thomas Hofmann,2,1,0,0,0
Kush Bhatia,2,0,0,0,0
Karthik Sridharan,2,0,1,0,0
A. Taylan Cemgil,2,0,1,0,0
Sumedh Ghaisas,2,0,0,0,0
Sven Gowal,2,3,2,1,0
Viet Anh Nguyen,2,1,1,0,0
Fan Zhang,3,0,0,0,0
José H. Blanchet,2,0,0,0,0
Erick Delage,2,0,0,0,0
Yinyu Ye,2,0,0,0,0
Yiling Chen,2,0,0,0,0
Chara Podimata,2,0,0,1,0
N. Joseph Tatro,2,0,0,0,0
Payel Das,2,1,0,0,0
Igor Melnyk,2,0,0,0,0
Prasanna Sattigeri,2,0,0,0,0
Rongjie Lai,2,0,0,0,0
Gamal Sallam,1,0,0,0,0
Zizhan Zheng,1,0,1,0,0
Jie Wu,1,0,0,0,0
Bo Ji,1,0,0,0,0
Chung-Wei Lee,1,0,0,0,0
Haipeng Luo,1,0,2,1,1
Chen-Yu Wei,1,0,0,2,1
Mengxiao Zhang,1,0,0,0,1
Ginevra Carbone,2,0,0,0,0
Matthew Wicker,2,0,0,0,0
Luca Laurenti,2,0,0,1,0
Andrea Patané,2,0,0,0,0
Luca Bortolussi,2,0,0,0,0
Guido Sanguinetti,2,0,0,1,0
Shafi Goldwasser,2,0,0,0,0
Adam Tauman Kalai,2,0,0,0,0
Yael Kalai,2,0,0,0,0
Hadi Mohaghegh Dolatabadi,2,0,0,0,0
Sarah M. Erfani,2,1,1,0,0
Christopher Leckie,2,0,0,0,0
Maksym Andriushchenko,2,0,0,1,2
Hongyi Wang,2,0,0,0,0
Kartik Sreenivasan,2,0,0,0,0
Shashank Rajput,2,0,0,0,0
Harit Vishwakarma,2,0,0,0,0
Saurabh Agarwal,2,0,0,0,0
Kangwook Lee,3,1,0,0,0
Dimitris S. Papailiopoulos,2,0,0,0,0
Julian Bitterwolf,2,0,1,0,0
Alexander Meinke,2,0,1,0,0
Matthias Hein,5,2,5,3,0
Chong Zhang,2,0,0,0,0
Ziyu Jiang,2,0,0,0,0
Adarsh Prasad,2,0,0,0,0
Vishwak Srinivasan,2,0,0,0,0
Sivaraman Balakrishnan,2,0,0,0,0
Pradeep Ravikumar,4,0,1,0,1
Sungyoon Lee,1,1,0,0,0
Jaewook Lee,1,1,0,1,0
Saerom Park,1,0,0,0,0
Hartmut Bauermeister,2,0,0,0,0
Hannah Dröge,2,0,0,0,0
Michael Moeller,2,0,0,0,0
Chih-Hui Ho,2,0,1,0,0
Nuno Vasconcelos,2,0,1,0,0
Jesse Mu,2,0,0,0,1
Jacob Andreas,2,0,0,0,0
Melanie Weber,2,0,0,0,0
Manzil Zaheer,2,0,0,0,0
Aditya Krishna Menon,2,0,0,0,0
Sanjiv Kumar,2,0,0,0,0
Micah Goldblum,3,3,5,1,0
Jiani Li,2,0,0,0,0
Waseem Abbas,2,0,0,0,0
Xenofon D. Koutsoukos,2,0,0,0,0
Max Simchowitz,2,0,0,0,0
Pantelis Elinas,2,0,0,0,0
Edwin V. Bonilla,2,0,0,0,0
Louis C. Tiao,2,0,0,0,0
Zhaoqiang Liu,2,0,0,0,0
Jonathan Scarlett,2,1,2,0,0
Tong Chen,1,1,0,0,0
Jean B. Lasserre,1,1,0,0,0
Victor Magron,1,1,0,0,0
Edouard Pauwels,1,1,0,0,0
Remi Tachet des Combes,1,1,0,0,0
Yu-Xiang Wang,1,0,0,1,1
Lu Wang,2,0,0,0,0
Xuanqing Liu,2,0,0,0,0
Jinfeng Yi,4,2,1,0,0
Yuan Jiang,2,0,0,0,0
Yu Chen,1,0,0,0,0
Lingfei Wu,1,1,0,0,0
Mohammed J. Zaki,1,0,0,0,0
Lang Huang,2,0,0,0,0
Chao Zhang,2,0,1,1,0
Sean Kulinski,2,0,0,0,0
Saurabh Bagchi,2,0,0,0,0
David I. Inouye,2,0,0,0,0
Vikash Sehwag,2,1,1,2,1
Shiqi Wang,2,1,1,1,0
Prateek Mittal,2,1,3,3,0
Suman Jana,2,1,1,0,0
Lin Yang,2,0,0,0,0
Mohammad Hassan Hajiesmaili,2,0,0,0,0
Mohammad Sadegh Talebi,2,0,0,0,0
John C. S. Lui,2,0,0,1,0
Wing Shing Wong,2,0,0,0,0
Antonio Barbalau,2,0,0,0,0
Adrian Cosma,2,0,0,0,0
Radu Tudor Ionescu,2,0,0,0,0
Marius Popescu,2,0,0,0,0
Gaurang Sriramanan,2,1,1,1,0
Sravanti Addepalli,2,1,1,0,0
Arya Baburaj,2,1,0,0,0
Venkatesh Babu R.,2,2,1,0,0
Tailin Wu,2,0,0,0,0
Hongyu Ren,2,0,0,0,0
Pan Li,2,1,0,0,0
Jure Leskovec,2,0,0,0,0
Ilias Diakonikolas,3,2,0,3,2
Daniel M. Kane,2,0,0,0,0
Pasin Manurangsi,2,0,0,0,0
Polina Kirichenko,1,0,0,0,0
Pavel Izmailov,1,0,0,0,0
Andrew Gordon Wilson,1,0,0,0,0
Yawei Luo,1,0,0,0,0
Ping Liu,1,0,0,0,0
Tao Guan,1,0,0,0,0
Junqing Yu,1,0,0,0,0
Yi Yang,1,0,0,0,1
Georgios Birmpas,2,0,0,0,0
Jiarui Gan,2,0,0,0,0
Alexandros Hollender,2,0,0,0,0
Francisco J. Marmolejo Cossío,2,0,0,0,0
Ninad Rajgopal,2,0,0,0,0
Alexandros A. Voudouris,2,0,0,0,0
Jun Hyun Nam,1,0,0,0,0
Hyuntak Cha,1,0,0,0,0
Sungsoo Ahn,1,1,0,0,0
Jaeho Lee,1,0,0,0,0
Kevin J. Liang,2,1,0,0,0
Binghui Wang,2,0,0,0,1
Matthew Inkawhich,2,0,0,0,0
Lawrence Carin,2,0,0,0,0
Yiran Chen,2,3,0,0,1
Zijie Zhang,2,2,1,0,0
Zeru Zhang,2,1,0,0,0
Yang Zhou,2,2,1,1,0
Yelong Shen,2,1,0,0,0
Ruoming Jin,3,2,0,0,0
Dejing Dou,3,2,0,0,0
Hongge Chen,3,0,0,0,0
Chaowei Xiao,2,2,1,2,3
Bo Li,4,7,9,10,7
Mingyan Liu,2,0,1,0,0
Duane S. Boning,3,0,0,0,0
Raphael A. Meyer,1,0,0,0,0
Christopher Musco,1,0,0,0,0
Chen Liu,2,0,1,1,2
Mathieu Salzmann,2,1,1,1,0
Ryota Tomioka,2,0,0,0,0
Sabine Süsstrunk,2,0,1,1,1
Amirhossein Reisizadeh,2,0,0,0,0
Farzan Farnia,2,0,0,0,0
Ramtin Pedarsani,2,0,0,0,0
Ali Jadbabaie,2,0,0,0,0
Ayush Jain,3,1,0,0,0
Alon Orlitsky,3,1,0,0,0
Qianqian Ma,2,0,0,0,0
Alex Olshevsky,2,0,0,0,0
Mingjie Sun,2,0,0,0,0
Greg Yang,3,0,1,0,0
J. Zico Kolter,5,5,2,1,2
Kaiqing Zhang,2,0,0,0,0
Bin Hu,2,0,0,2,0
Tamer Basar,2,0,0,0,0
Matthew Jagielski,2,0,1,3,0
Jonathan R. Ullman,2,0,0,1,0
Alina Oprea,2,0,0,0,1
Zhen Sun,2,0,0,0,0
Roei Schuster,2,0,1,0,0
Vitaly Shmatikov,2,0,0,0,0
Siddharth Desai,1,0,0,0,0
Ishan Durugkar,1,0,0,0,0
Haresh Karnan,1,0,0,0,0
Garrett Warnell,1,0,0,0,0
Josiah Hanna,1,0,0,0,0
Peter Stone,1,0,0,0,0
Yingjie Fei,1,0,0,0,0
Zhuoran Yang,1,0,0,1,0
Zhaoran Wang,1,0,1,1,0
Qiaomin Xie,1,0,0,0,0
Hau Chan,1,0,0,0,0
Debmalya Mandal,1,0,0,0,0
Paul Barde,1,0,0,0,0
Julien Roy,1,0,0,0,0
Wonseok Jeon,1,0,0,0,0
Joelle Pineau,1,0,0,0,0
Chris Pal,1,0,0,0,0
Derek Nowrouzezahrai,1,0,0,0,0
Guangmo Tong,1,0,0,0,0
Stratis Tsirtsis,1,0,0,0,0
Manuel Gomez Rodriguez,1,0,0,0,0
Jie Zhang,2,0,0,0,4
Jing Liao,2,0,0,0,0
Gang Hua,1,0,0,0,0
Haiwen Wang,1,0,0,0,0
Ruijie Wang,1,0,0,0,0
Shuhao Li,1,0,0,0,0
Yuting Jia,1,0,0,0,0
Weinan Zhang,1,0,0,0,0
Xinbing Wang,1,0,0,0,1
Kazuto Fukuchi,1,0,0,0,0
Satoshi Hara,1,1,0,0,0
Takanori Maehara,1,0,0,0,0
Limeng Cui,1,0,0,0,0
Siddharth Biswal,1,0,0,0,0
Lucas M. Glass,1,0,0,0,0
Greg Lever,1,0,0,0,0
Jimeng Sun,1,0,0,0,1
Cao Xiao,1,0,0,0,0
Farzan Masrour,1,0,0,0,0
Tyler Wilson,1,0,0,0,0
Heng Yan,1,0,0,0,0
Pang-Ning Tan,1,1,0,0,0
Abdol-Hossein Esfahanian,1,0,0,0,0
Soham Pal,1,0,0,0,0
Yash Gupta,1,0,0,0,0
Aditya Shukla,1,0,0,0,0
Aditya Kanade,1,0,0,0,0
Shirish K. Shevade,1,0,0,0,0
Vinod Ganapathy,1,0,0,0,0
Anthony Rios,1,0,0,0,0
Liang Tong,1,0,0,0,0
Aron Laszka,1,0,0,0,0
Chao Yan,1,0,0,0,0
Ning Zhang,1,0,0,0,0
Yevgeniy Vorobeychik,2,2,1,0,0
Tzungyu Tsai,2,0,0,0,0
Kaichen Yang,2,0,0,0,0
Tsung-Yi Ho,3,0,0,2,2
Yier Jin,2,0,0,0,0
Yu Wang,1,0,0,0,0
Jack W. Stokes,1,0,0,0,0
Mady Marinescu,1,0,0,0,0
Marcin Waniek,1,0,0,0,0
Tomasz P. Michalak,1,0,0,0,0
Talal Rahwan,1,0,0,0,0
Hiromu Yakura,1,0,0,0,0
Youhei Akimoto,1,0,0,0,0
Jun Sakuma,1,0,0,0,0
Honggang Yu,1,0,0,0,0
Huangzhao Zhang,1,0,0,0,0
Zhuo Li,1,0,0,0,1
Ge Li,1,0,0,0,0
Zhi Jin,1,0,0,0,0
Eric Ewing,1,0,0,0,0
Aditya Mate,1,0,0,0,0
Bistra Dilkina,1,0,0,0,0
Minming Li,1,0,0,0,0
Xiaowei Wu,1,0,0,0,0
Xiao Shen,1,0,0,0,0
Quanyu Dai,1,0,0,0,0
Fu-Lai Chung,1,0,0,0,0
Wei Lu,1,0,0,0,0
Kup-Sze Choi,1,0,0,0,0
Heng Chang,1,1,0,0,0
Yu Rong,1,2,0,0,0
Tingyang Xu,1,1,0,0,0
Wenbing Huang,1,0,0,0,0
Honglei Zhang,1,0,0,0,0
Peng Cui,1,0,0,0,0
Wenwu Zhu,1,1,0,0,0
Junzhou Huang,1,2,0,0,1
Zhaohui Che,1,0,0,0,0
Ali Borji,1,0,0,0,0
Guangtao Zhai,1,0,1,0,1
Suiyi Ling,1,0,0,0,0
Jing Li,1,0,0,0,0
Patrick Le Callet,1,0,0,0,0
Huangxun Chen,1,0,0,0,0
Chenyu Huang,1,0,0,0,0
Qianyi Huang,1,0,0,0,0
Qian Zhang,1,0,0,0,0
Wei Wang,1,0,0,0,2
Jinghui Chen,1,1,1,6,2
Dongruo Zhou,1,0,1,0,0
Quanquan Gu,1,4,1,2,0
Yiding Chen,1,1,0,0,0
Xiaojin Zhu,3,1,0,0,0
Minhao Cheng,1,0,0,2,1
Anshuman Chhabra,1,0,1,0,0
Abhishek Roy,1,0,0,0,0
Prasant Mohapatra,1,0,1,0,0
Daizong Ding,1,0,0,0,0
Mi Zhang,1,0,1,0,0
Xudong Pan,1,0,1,0,0
Min Yang,1,0,1,0,0
Xiangnan He,1,0,0,1,0
Ujjal Kr Dutta,1,0,0,0,0
Mehrtash Harandi,1,0,0,0,0
C. Chandra Sekhar,1,0,0,0,0
Huijie Feng,1,0,0,0,0
Chunpeng Wu,1,0,0,0,0
Guoyang Chen,1,0,0,0,0
Weifeng Zhang,1,0,0,0,0
Yang Ning,1,0,0,0,0
Ziwei Guan,1,0,0,0,0
Kaiyi Ji,1,0,0,0,0
Donald J. Bucci Jr.,1,0,0,0,0
Timothy Y. Hu,1,0,0,0,0
Joseph Palombo,1,0,0,0,0
Michael Liston,1,0,0,0,0
Yingbin Liang,1,0,0,0,0
Yufei Han,1,0,0,0,0
Xiangliang Zhang,1,0,0,0,0
Ayush Jaiswal,1,0,0,0,0
Daniel Moyer,1,0,0,0,0
Greg Ver Steeg,1,0,0,0,0
Wael AbdAlmageed,1,0,0,0,0
Premkumar Natarajan,1,0,0,0,0
Sekitoshi Kanai,1,0,0,1,0
Yasutoshi Ida,1,0,0,1,0
Yasuhiro Fujiwara,1,0,0,0,0
Masanori Yamada,1,0,0,1,0
Shuichi Adachi,1,0,0,0,0
Xian Yeow Lee,1,0,0,0,0
Sambit Ghadai,1,0,0,0,0
Kai Liang Tan,1,0,0,0,0
Chinmay Hegde,1,0,0,0,0
Soumik Sarkar,1,0,0,0,0
Senwei Liang,1,0,0,0,0
Zhongzhan Huang,1,0,0,0,0
Mingfu Liang,1,0,0,0,0
Haizhao Yang,1,0,0,0,0
Xiaolei Liu,1,0,0,0,0
Kun Wan,1,0,0,0,0
Yufei Ding,1,0,0,0,0
Xiaosong Zhang,1,0,0,0,0
Qingxin Zhu,1,0,0,0,0
Zhaoyang Lyu,1,0,0,0,0
Zhifeng Kong,1,0,0,0,0
Ngai Wong,1,0,0,0,0
Dahua Lin,1,0,0,0,0
Qianli Ma,1,0,0,0,0
Wanqing Zhuang,1,0,0,0,0
Sen Li,1,0,0,0,0
Desen Huang,1,0,0,0,0
Garrison W. Cottrell,1,0,0,0,0
Huy Phan,1,0,0,0,0
Yi Xie,1,0,0,0,0
Siyu Liao,1,0,0,0,0
Jie Chen,1,0,0,0,0
Bo Yuan,1,0,0,0,0
Goutham Ramakrishnan,1,0,0,0,0
Yun Chan Lee,1,0,0,0,0
