Class_Id,uuid,Name,Course Name,URL Used,Semester,Sample,Education Level,Lecture,Notes,Code 1,Code 2,Code 3,Code 4,
2,,,,,,,undergraduate,10,"review of probability, linear algebra, and convex analysis",other->ml,,,,
2,,,,,,,undergraduate,11,probabilistic iview of ml,other->ml,,,,
2,,,,,,,undergraduate,12,midterm,other->ml,,,,
2,,,,,,,undergraduate,13,logistic regression + multi-label classification,other->ml,,,,
2,,,,,,,undergraduate,14,neural networks,other->ml,,,,
2,,,,,,,undergraduate,15,nonlinear regression + back propagation,other->ml,,,,
2,,,,,,,undergraduate,16,back propagation,other->ml,,,,
2,,,,,,,undergraduate,17,"vanishing gradients, multi label classification, momemtum method",other->ml,,,,
2,,,,,,,undergraduate,18,adversarial robustness + recurrent neural networks,security->evasion->attack,,,,
2,,,,,,,undergraduate,19,unsupervised learning + k-means,other->ml,,,,
2,,,,,,,undergraduate,20,PCA,other->ml,,,,
2,,,,,,,undergraduate,21,PCA analysis,other->ml,,,,
2,,,,,,,undergraduate,22,autoencoders,other->ml,,,,
2,,,,,,,undergraduate,23,kernels,other->ml,,,,
2,,,,,,,undergraduate,24,svms,other->ml,,,,
2,,,,,,,undergraduate,25,svms 2 + kkt conditions,other->ml,,,,
2,,,,,,,undergraduate,26,svms 3 + course review,other->ml,,,,
2,,,,,,,undergraduate,27,final presentation,other->ml,,,,
2,,,,,,,undergraduate,28,final presentation,other->ml,,,,
3,,Huan Zhang,Advanced Topics in Machine Learning and Formal Methods,Course Schedule – ECE598HZ: Advanced Topics in Machine Learning and Formal Methods,,Course Schedule – ECE598HZ_ Advanced Topics in Machine Learning and Formal Methods.pdf,graduate,1,introduction,other->ml,,,,
3,,,,,,,graduate,2,introduction to formal methods,other->ml,,,,
3,,,,,,,graduate,3,solving SAT problem,other->ml,,,,
3,,,,,,,graduate,4,satisfiability modulo theory,other->ml,,,,
3,,,,,,,graduate,5,satisfiability modulo theory,other->ml,,,,
3,,,,,,,graduate,6,"Neural network verification (Satisfiability problem, MILP, LP formulations)",other->ml,,,,
3,,,,,,,graduate,7,Neural network verification (bound propagation method),other->ml,,,,
3,,,,,,,graduate,8,"Neural network verification (branch and bound, bound propagation on general computation graph)",other->ml,,,,
3,,,,,,,graduate,9,Neural network verification (methods for improving verification),other->ml,,,,
3,,,,,,,graduate,10,Formal methods for other ML models,other->ml,,,,
3,,,,,,,graduate,11,Falsification and adversarial attacks,security->jailbreak->attack,privacy->poisoning->backdoor->attack,architecture->llm/foundation,,
3,,,,,,,graduate,12,Verification for reasoning and explanability in ML,explainability,,,,
3,,,,,,,graduate,13,Verification of learning-enabled control systems,safety,,,,
3,,,,,,,graduate,14,Verification of NN applied to robotics and graphics,other->ml,,,,
3,,,,,,,graduate,15,Guest Lecture ,trustworthy,,,,
3,,,,,,,graduate,16,Guest Lecture,none,,,,
3,,,,,,,graduate,17,Mid-semester project presentation + Feedback,none,,,,
3,,,,,,,graduate,18,Mid-semester project presentation + Feedback,none,,,,
3,,,,,,,graduate,19,Guest Lecture (Prof. Stanley Bak): Safe Autonomy for Cyber-Physical Systems using Surrogate Verification,other->cps,,,,
3,,,,,,,graduate,20,Automated Theorem Proving Part I: concepts and resolution refutation,other->ml,,,,
3,,,,,,,graduate,21,Automated Theorem Proving: Part II: interactive theorem provers,other->ml,,,,
3,,,,,,,graduate,22,Automated theorem proving with large language models,other->ml,,,,
3,,,,,,,graduate,23,Machine learning and foundation models for math problems,other->ml,,,,
3,,,,,,,graduate,24,Guest Lecture,other->ml,,,,
3,,,,,,,graduate,25,Fall Break,none,,,,
3,,,,,,,graduate,26,Fall Break,none,,,,
3,,,,,,,graduate,27,Final project presentations,none,,,,
3,,,,,,,graduate,28,Final project presentations,none,,,,
3,,,,,,,graduate,29,Final project presentations,none,,,,
4,Deep Learning23-SP,Cho-Jui Hsieh,Deep Learning,Deep Learning23-SP.pdf,23-SP,Deep Learning23-SP.pdf,undergraduate,1,introduction and basic definitions,other->ml,,,,
4,,,,,,,undergraduate,2,introduction and basic definitions,other->ml,,,,
4,,,,,,,undergraduate,3,training algorithms and back-propagation,other->ml,,,,
4,,,,,,,undergraduate,4,training algorithms and back-propagation,other->ml,,,,
4,,,,,,,undergraduate,5,training algorithms and back-propagation,other->ml,,,,
4,,,,,,,undergraduate,6,regularizations and normalizations,other->ml,,,,
4,,,,,,,undergraduate,7,regularizations and normalizations,other->ml,,,,
4,,,,,,,undergraduate,8,"Neural networks for computer vision (CNN, ResNet, GAN)",other->ml,,,,
4,,,,,,,undergraduate,9,"Neural networks for computer vision (CNN, ResNet, GAN)",other->ml,,,,
4,,,,,,,undergraduate,10,"Neural networks for computer vision (CNN, ResNet, GAN)",other->ml,,,,
4,,,,,,,undergraduate,11,"Neural networks for NLP (RNN, Transformer)",other->ml,,,,
4,,,,,,,undergraduate,12,"Neural networks for NLP (RNN, Transformer)",other->ml,,,,
4,,,,,,,undergraduate,13,"Neural networks for NLP (RNN, Transformer)",other->ml,,,,
4,,,,,,,undergraduate,14,Neural networks for graph,other->ml,,,,
4,,,,,,,undergraduate,15,Neural networks for graph,other->ml,,,,
4,,,,,,,undergraduate,16,Multi-modal networks (text+vision or text+graph),other->ml,,,,
4,,,,,,,undergraduate,17,Neural architecture search,other->ml,,,,
4,,,,,,,undergraduate,18,Few-shot learning/Meta-learning,other->ml,,,,
4,,,,,,,undergraduate,19,"Limitations of deep learning (robustness, fairness, interpretability, scalability, reproducibility).",other->ml,,,,
4,,,,,,,undergraduate,20,"Limitations of deep learning (robustness, fairness, interpretability, scalability, reproducibility).",other->ml,,,,
5,reliable and trustworthy artificial intelligence24-FL,Martin T. Vechev,reliable and trustworthy artificial intelligence,Reliable and Trustworthy Artificial Intelligence | SRI Lab,24-FL,reliable and trustworthy artificial intelligence24-FL,graduate,1,course introduction,security,privacy,,,
5,,,,,,,graduate,2,adversarial attacks and defenses,security,privacy,,,
5,,,,,,,graduate,3,"neural network certification: box relaxation, MILP",other->ml,,,,
5,,,,,,,graduate,4,"DeepPoly, Branch, and Bound",other->ml,,,,
5,,,,,,,graduate,5,Certified Defenses,security->evasion->defense->certified,,,,
5,,,,,,,graduate,6,Randomized Smoothing,security->evasion->defense->certified,,,,
5,,,,,,,graduate,7,"Introduction to Privacy, Federated Learning Attacks",privacy,threat model->federated learning,,,
5,,,,,,,graduate,8,Differential Privacy,privacy->differential privacy->defense,,,,
5,,,,,,,graduate,9,AI Regulations and Synthetic Data,safety,,,,
5,,,,,,,graduate,10,Combining Logic and Deep Learning,other->ml,,,,
5,,,,,,,graduate,11,"Introduction to Fairness, Individual Fairness",fairness,,,,
5,,,,,,,graduate,12,Group Fairness,fairness,,,,
5,,,,,,,graduate,13,Reliable and Trustworthy LLMs: Current Research,trustworthy,,,,
6,deep learning for big code23-SP,Martin T. Vechev,deep learning for big code,Deep Learning for Big Code | SRI Lab,23-SP,deep learning for big code23-SP.pdf,graduate,1,"Introduction to the seminar (topics, objectives, structure):",other->ml,,,,
6,,,,,,,graduate,2,Counterfactual Explanations for Models of Code,other->ml,,,,
6,,,,,,,graduate,3,SpreadsheetCoder: Formula Prediction from Semi-structured Context,other->ml,,,,
6,,,,,,,graduate,4,Adversarial Robustness for Code,security,,,,
6,,,,,,,graduate,5,Jigsaw: Large language models meet program synthesis,other->ml,,,,
6,,,,,,,graduate,6,Break-It-Fix-It: Unsupervised Learning for Program Repair,other->ml,,,,
6,,,,,,,graduate,7,Getafix: Learning to fix bugs automatically,other->ml,,,,
6,,,,,,,graduate,8,Typewriter: Neural type prediction with search-based validation,other->ml,,,,
6,,,,,,,graduate,9,Unsupervised translation of programming languages,other->ml,,,,
6,,,,,,,graduate,10,Competition-level code generation with alphacode,other->ml,,,,
6,,,,,,,graduate,11,Repair is nearly generation: Multilingual program repair with llms,other->ml,,,,
6,,,,,,,graduate,12,Code Prediction by Feeding Trees to Transformers,other->ml,,,,
6,,,,,,,graduate,13,Typilus: Neural Type Hints,other->ml,,,,
6,,,,,,,graduate,14,	NL2Type: inferring JavaScript function types from natural language information,other->ml,,,,
6,,,,,,,graduate,15,Synchromesh: Reliable code generation from pre-trained language models,other->ml,,,,
6,,,,,,,graduate,16,Big code!= big vocabulary: Open-vocabulary models for source code,other->ml,,,,
7,adversarial machine learning21-WT,Sijia Liu,adversarial machine learning,https://github.com/lsjxjtu/lsjxjtu.github.io/blob/master/CSE891_AdvML.pdf,21-WT,adversarial machine learning21-WT.pdf,graduate,1,adversarial robustness evaluation of deep neural networks,security,,,,
7,,,,,,,graduate,2,prediction evasion attacks in machine learning,security->evasion->defense,,,,
7,,,,,,,graduate,3,data poisoning attacks and trojan deep models,privacy->poisoning->general->attack,privacy->poisoning->backdoor->attack,,,
7,,,,,,,graduate,4,adversarial training: from adversarial exploration to defense,security->evasion->defense->heuristic,,,,
7,,,,,,,graduate,5,robustness certification and randomized smoothing,security->evasion->defense->certified,,,,
7,,,,,,,graduate,6,adversarial ml by semi-and self-supervision,security,privacy,,,
7,,,,,,,graduate,7,applications of adversarial atttacks and defenses in image classification and beyond,security,privacy,,,
7,,,,,,,graduate,8,adversarial ml v.s. explainable ml,security,explainability,,,
7,,,,,,,graduate,9,adversarial robustness vs. generalization and fairness,safety,security,,,
8,J. Zico Kolter24-WT,J. Zico Kolter,graduate artificial intelligence,https://www.cs.cmu.edu/~15780/,24-WT,graduate artificial intelligence24-SP.pdf,graduate,1,introduction,other->ml,,,,
8,,,,,,,graduate,2,supervised machine learning,other->ml,,,,
8,,,,,,,graduate,3,no class,none,,,,
8,,,,,,,graduate,4,supervised machine learning,other->ml,,,,
8,,,,,,,graduate,5,optimization-1,other->ml,,,,
8,,,,,,,graduate,6,optimization-2,other->ml,,,,
8,,,,,,,graduate,7,optimization-3,other->ml,,,,
8,,,,,,,graduate,8,neural networks-1,other->ml,,,,
8,,,,,,,graduate,9,neural-networks-2,other->ml,,,,
8,,,,,,,graduate,10,pytorch review,other->ml,,,,
8,,,,,,,graduate,11,transformers and LLMs-1,other->ml,,,,
8,,,,,,,graduate,12,transformers and LLMs-2,other->ml,,,,
8,,,,,,,graduate,13,pytorch review,other->ml,,,,
8,,,,,,,graduate,14,transformers and LLMs-1,other->ml,,,,
8,,,,,,,graduate,15,transformers and LLMs-2,other->ml,,,,
8,,,,,,,graduate,16,midterm review,none,,,,
8,,,,,,,graduate,17,mid term,none,,,,
8,,,,,,,graduate,18,no class,none,,,,
8,,,,,,,graduate,19,no class,none,,,,
8,,,,,,,graduate,20,no class,none,,,,
8,,,,,,,graduate,21,scaling laws and emergent capabilities,other->ml,,,,
8,,,,,,,graduate,22,inference-time methods to search,other->ml,,,,
8,,,,,,,graduate,23,search-2,other->ml,,,,
8,,,,,,,graduate,24,no class,none,,,,
8,,,,,,,graduate,25,mdps,other->ml,,,,
8,,,,,,,graduate,26,rl-1,other->ml,,,,
8,,,,,,,graduate,27,rl-2,other->ml,,,,
8,,,,,,,graduate,28,rl and language models,other->ml,,,,
8,,,,,,,graduate,29,tbd,none,,,,
8,,,,,,,graduate,30,guest lecture on ethics/privacy/security,privacy,security,,,
8,,,,,,,graduate,31,poster presentation,none,,,,
8,,,,,,,graduate,32,no class,none,,,,
9,deep learning systems,J. Zico Kolter,deep learning systems,Lectures,,Deep_Learning_Systems.pdf,graduate,1,1 - Introduction / Logistics,other->ml,,,,
9,,,,,,,graduate,2,2 - ML Refresher / Softmax Regression,other->ml,,,,
9,,,,,,,graduate,3,3 - Manual Neural Networks / Backprop,other->ml,,,,
9,,,,,,,graduate,4,4 - Automatic Differentiation,other->ml,,,,
9,,,,,,,graduate,5,5 - Automatic Differentiation Implementation,other->ml,,,,
9,,,,,,,graduate,6,6 - Optimization,other->ml,,,,
9,,,,,,,graduate,7,7 - Neural Network Library Abstractions,other->ml,,,,
9,,,,,,,graduate,8,"9 - Normalization, Dropout, + Implementation",other->ml,,,,
9,,,,,,,graduate,9,8 - NN Library Implementation,other->ml,,,,
9,,,,,,,graduate,10,10 - Convolutional Networks	,other->ml,,,,
9,,,,,,,graduate,11,11 - Hardware Acceleration for Linear Algebra,other->gpu,,,,
9,,,,,,,graduate,12,12 - Hardware Acceleration + GPUs,other->gpu,,,,
9,,,,,,,graduate,13,13 - Hardware Acceleration Implementation,other->gpu,,,,
9,,,,,,,graduate,14,14 - Convoluations Network Implementation,other->ml,,,,
9,,,,,,,graduate,15,No class - Fall Break,none,,,,
9,,,,,,,graduate,16,No class - Fall Break,none,,,,
9,,,,,,,graduate,17,15 - Sequence Modeling + RNNs,other->ml,,,,
9,,,,,,,graduate,18,16 - Sequence Modeling Implementation,other->ml,,,,
9,,,,,,,graduate,19,17 - Transformers and Autoregressive Models,other->ml,,,,
9,,,,,,,graduate,20,18 - Transformers Implementation,other->ml,,,,
9,,,,,,,graduate,21,No class - Democracy Day,none,,,,
9,,,,,,,graduate,22,19 - Training Large Models,other->ml,,,,
9,,,,,,,graduate,23,20 - Generative Models,other->ml,,,,
9,,,,,,,graduate,24,21 - Generative Models Implementation,other->ml,,,,
9,,,,,,,graduate,25,22 - Customize Pretrained Models,other->ml,,,,
9,,,,,,,graduate,26,23 - Model Deployment,other->ml,,,,
9,,,,,,,graduate,27,24 - Machine Learning Compilation and Deployment Implementation,other->ml,,,,
9,,,,,,,graduate,28,No class - Thanksgiving,none,,,,
9,,,,,,,graduate,29,25 - Future Directions / Q&A,none,,,,
9,,,,,,,graduate,30,26 - Student project presentations,none,,,,
10,practical data science22-SP,J. Zico Kolter,practical data science,Lectures,22-SP,practical data science22-SP.pdf,undergraduate,1,introduction,other->ml,,,,
10,,,,,,,undergraduate,2,data collection and scraping,other->ml,,,,
10,,,,,,,undergraduate,3,jupyter notebook lab,other->ml,,,,
10,,,,,,,undergraduate,4,relational data,other->ml,,,,
10,,,,,,,undergraduate,5,visualization and data exploration,other->ml,,,,
10,,,,,,,undergraduate,6,"vectors, matrices, and linear algebra",other->ml,,,,
10,,,,,,,undergraduate,7,"vectors, matrices, and linear algebra",other->ml,,,,
10,,,,,,,undergraduate,8,graph and network processing,other->ml,,,,
10,,,,,,,undergraduate,9,free text and natural language processing,other->ml,,,,
10,,,,,,,undergraduate,10,introduction to machine learning,other->ml,,,,
10,,,,,,,undergraduate,11,introduction to machine learning,other->ml,,,,
10,,,,,,,undergraduate,12,linear classification,other->ml,,,,
10,,,,,,,undergraduate,13,linear classification,other->ml,,,,
10,,,,,,,undergraduate,14,spring break,none,,,,
10,,,,,,,undergraduate,15,spring break,none,,,,
10,,,,,,,undergraduate,16,nonlinear modeling: cross-validation,other->ml,,,,
10,,,,,,,undergraduate,17,nonlinear modeling: cross-validation,other->ml,,,,
10,,,,,,,undergraduate,18,basics of probability,other->ml,,,,
10,,,,,,,undergraduate,19,basics of probability,other->ml,,,,
10,,,,,,,undergraduate,20,"maximum likelihood estimation, naive bayes",other->ml,,,,
10,,,,,,,undergraduate,21,hypothesis testing and experimental design,other->ml,,,,
10,,,,,,,undergraduate,22,unsupervised learning + k-means,other->ml,,,,
10,,,,,,,undergraduate,23,recommender systems,other->ml,,,,
10,,,,,,,undergraduate,24,"decision trees, interpretable moedls",other->ml,,,,
10,,,,,,,undergraduate,25,deep learning,other->ml,,,,
10,,,,,,,undergraduate,26,deep learning,other->ml,,,,
10,,,,,,,undergraduate,27,big data and mapreduce methods,other->ml,,,,
10,,,,,,,undergraduate,28,debugging data science,other->ml,,,,
10,,,,,,,undergraduate,29,the future of data science and q&a,other->ml,,,,
11,machine learning23-WT,Stephan Gunnemann,machine learning,https://www.cs.cit.tum.de/en/daml/lehre/wintersemester-2022-23/machine-learning/,23-WT,machine learning23-WT.pdf,undergraduate,1,introduction,other->ml,,,,
11,,,,,,,undergraduate,2,k-nearest neighbors,other->ml,,,,
11,,,,,,,undergraduate,3,decision trees,other->ml,,,,
11,,,,,,,undergraduate,4,probabilistic inference,other->ml,,,,
11,,,,,,,undergraduate,5,linear regression,other->ml,,,,
11,,,,,,,undergraduate,6,linear classification,other->ml,,,,
11,,,,,,,undergraduate,7,optimization,other->ml,,,,
11,,,,,,,undergraduate,8,deep learning,other->ml,,,,
11,,,,,,,undergraduate,9,support vector machines,other->ml,,,,
11,,,,,,,undergraduate,10,kernel methods ,other->ml,,,,
11,,,,,,,undergraduate,11,dimensionality reduction,other->ml,,,,
11,,,,,,,undergraduate,12,clustering,other->ml,,,,
12,machine learning for graphs and sequential data23-SM,Stephan Gunnemann,machine learning for graphs and sequential data,Lecture: Machine Learning for Graphs and Sequential Data,23-SM,machine learning for graphs and sequential data23-SM.pdf,undergraduate,1,AR and Markov Chains,other->ml,,,,
12,,,,,,,undergraduate,2,Hidden Markov Model,other->ml,,,,
12,,,,,,,undergraduate,3,"Sequence models (Recurrent Neural Networks, Transformers, etc.)",other->ml,,,,
12,,,,,,,undergraduate,4,Embeddings (Word2Vec),other->ml,,,,
12,,,,,,,undergraduate,5,Temporal Point Processes,other->ml,,,,
12,,,,,,,undergraduate,6,Laws and Patterns,other->ml,,,,
12,,,,,,,undergraduate,7,(Deep) Generative Models for Graphs,other->ml,,,,
12,,,,,,,undergraduate,8,Spectral Methods,other->ml,,,,
12,,,,,,,undergraduate,9,Clustering,other->ml,,,,
12,,,,,,,undergraduate,10,"Embedding and Ranking (e.g., PageRank)",other->ml,,,,
12,,,,,,,undergraduate,11,Community Detection,other->ml,,,,
12,,,,,,,undergraduate,12,Node/Graph Classification,other->ml,,,,
12,,,,,,,undergraduate,13,Label Propagation,other->ml,,,,
12,,,,,,,undergraduate,14,"Graph Neural Networks (expressivity, oversmoothing, invariances etc.)",other->ml,,,,
12,,,,,,,undergraduate,15,adversarial attack,security->evasion->attack,,,,
12,,,,,,,undergraduate,16,Adversarial training,security->evasion->defense,,,,
12,,,,,,,undergraduate,17,Exact robustness verification,safety,,,,
12,,,,,,,undergraduate,18,"Relaxed robustness certification (Convex relaxation, Lipschitzness, Randomized smoothing)",security->evasion->defense->certified,,,,
12,,,,,,,undergraduate,19,GNN robustness,safety,architecture->graph-nn,,,
13,advanced topics in computer vision21-SP,Zhangyang Wang,advanced topics in computer vision,Advanced Topics in Computer Vision,21-SP,advanced topics in computer vision21-SP.pdf,graduate,1,introduction and computer vision basics,other->cv,,,,
13,,,,,,,graduate,2,deep learning basics: building a deep network,other->ml,,,,
13,,,,,,,graduate,3,deep learning basics: representative models and tasks,other->ml,,,,
13,,,,,,,graduate,4,deep learning basics: advanced models and optimization,other->ml,,,,
13,,,,,,,graduate,5,topic 1: label-efficient learning (1): semi-supervised learning,other->ml,,,,
13,,,,,,,graduate,6,topic 1: label-efficent learning (2): few-shot & active learning,other->ml,,,,
13,,,,,,,graduate,7,topic 1: label-efficient learning (3): transfer & multi-task & self-supervised learning,other->ml,,,,
13,,,,,,,graduate,8,class cancelled,none,,,,
13,,,,,,,graduate,9,class cancelled,none,,,,
13,,,,,,,graduate,10,topic 2: resource-efficient learning (1): model compression,other->ml,,,,
13,,,,,,,graduate,11,topic 2: resource-efficient learning (2): efficient training,other->ml,,,,
13,,,,,,,graduate,12,topic 3: robust vision (1): image enhancement ,other->cv,,,,
13,,,,,,,graduate,13,topic 3: robust vision (2) certainty,other->cv,,,,
13,,,,,,,graduate,14,topic 3: robust vision (3) domain generalization,other->cv,,,,
13,,,,,,,graduate,15,topic 3: robust vision (4): adversarial robustness,other->cv,,,,
13,,,,,,,graduate,16,topic 4: generative models - GAN and VAE,other->ml,,,,
13,,,,,,,graduate,17,topic 4: generative models - GAN and VAE,other->ml,,,,
13,,,,,,,graduate,18,topic 4: generative models - GAN and VAE,other->ml,,,,
13,,,,,,,graduate,19,topic 5: autoML and meta learning,other->ml,,,,
13,,,,,,,graduate,20,topic 5: autoML and meta learning,other->ml,,,,
13,,,,,,,graduate,21,topic 5: autoML and meta learning,other->ml,,,,
13,,,,,,,graduate,22,topic 6: vision and language,other->ml,,,,
13,,,,,,,graduate,23,topic 6: vision and language,other->ml,,,,
13,,,,,,,graduate,24,topic 6: vision and language,other->ml,,,,
13,,,,,,,graduate,25,special topics (1): scaling up vision with synthetic data,other->ml,,,,
13,,,,,,,graduate,26,special topics (2): visual transformers,other->ml,,,,
13,,,,,,,graduate,27,special topics (3): ethics and privacy in comuter vision,other->ml,,,,
13,,,,,,,graduate,28,class project presentation (1),none,,,,
13,,,,,,,graduate,29,class project presentation (2),none,,,,
14,Trustworthy Machine Learning21-FL,Nicolas Papernot,Trustworthy Machine Learning,ECE1784H/CSC2559H: Trustworthy Machine Learning,21-FL,Trustworthy Machine Learning21-FL.pdf,graduate,1,overview & motivation,privacy,security,,,
14,,,,,,,graduate,2,Data Privacy,privacy->differential privacy->defense,privacy->membership inference->attack,,,
14,,,,,,,graduate,3,Unlearning,privacy->machine unlearning->attack,,,,
14,,,,,,,graduate,4,Difstribution shifts and uncertainty,valid,,,,
14,,,,,,,graduate,5,model stealing,privacy->stealing->attack,privacy->Data Extraction/Data Reconstruction/Model Inversion->attack,,,
14,,,,,,,graduate,6,Adversarial examples,security->evasion->attack,security->evasion->defense->certified,knowledge-black-box,,
14,,,,,,,graduate,7,presentation,none,,,,
14,,,,,,,graduate,8,Availability,privacy->poisoning->availability->attack,,,,
14,,,,,,,graduate,9,Reading week,none,,,,
14,,,,,,,graduate,10,Verification of ML,valid,,,,
14,,,,,,,graduate,11,Fairness,fairness,,,,
14,,,,,,,graduate,12,Interpretability,explainability,,,,
14,,,,,,,graduate,13,research project poster session,none,,,,
15,overview of information security24-FL,Jinghui Chen,overview of information security,https://jinghuichen.github.io/SRA221-24Fall/,24-FL,overview of information security24-FL.pdf,undergraduate,1,course introduction,other->sec,,,,
15,,,,,,,undergraduate,2,security problems,other->sec,,,,
15,,,,,,,undergraduate,3,intro to lab environments,other->lab,,,,
15,,,,,,,undergraduate,4,security principles,other->sec,,,,
15,,,,,,,undergraduate,5,web security,other->web sec,,,,
15,,,,,,,undergraduate,6,software security,other->software sec,,,,
15,,,,,,,undergraduate,7,attack types 1,other->sec,,,,
15,,,,,,,undergraduate,8,attack types 2,other->sec,,,,
15,,,,,,,undergraduate,9,exam 1 review,none,,,,
15,,,,,,,undergraduate,10,exam1,none,,,,
15,,,,,,,undergraduate,11,cryptography basics 1,other->crypto,,,,
15,,,,,,,undergraduate,12,cryptography basics 2,other->crypto,,,,
15,,,,,,,undergraduate,13,cryptography basics 3,other->crypto,,,,
15,,,,,,,undergraduate,14,symmetric cryptography 1,other->crypto,,,,
15,,,,,,,undergraduate,15,symmetric cryptography 2,other->crypto,,,,
15,,,,,,,undergraduate,16,pub key cryptography 1,other->crypto,,,,
15,,,,,,,undergraduate,17,pub key cryptography 2,other->crypto,,,,
15,,,,,,,undergraduate,18,pub key infra,other->crypto,,,,
15,,,,,,,undergraduate,19,exam 2 review,none,,,,
15,,,,,,,undergraduate,20,exam 2 review,none,,,,
15,,,,,,,undergraduate,21,network security,other->network sec,,,,
15,,,,,,,undergraduate,22,lab walk through,other->lab,,,,
15,,,,,,,undergraduate,23,access control 1,other->access control,,,,
15,,,,,,,undergraduate,24,access control 2,other->access control,,,,
15,,,,,,,undergraduate,25,ai and security 1,general ml & security,,,,
15,,,,,,,undergraduate,26,ai and security 2,general ml & security,,,,
15,,,,,,,undergraduate,27,thanksgiving,none,,,,
15,,,,,,,undergraduate,28,thanksgiving,none,,,,
15,,,,,,,undergraduate,29,data privacy 1,other->data privacy,,,,
15,,,,,,,undergraduate,30,data privacy 2,other->data privacy,,,,
15,,,,,,,undergraduate,31,final project presentation 1,none,,,,
15,,,,,,,undergraduate,32,final project presentation 2,none,,,,
16,machine learning for data analytics23-FL,Jinghui Chen,machine learning for data analytics,https://jinghuichen.github.io/DS310-23Fall/,23-FL,machine learning for data analytics23-FL.pdf,undergraduate,1,course introduction,other->ml,,,,
16,,,,,,,undergraduate,2,ML fundamentals,other->ml,,,,
16,,,,,,,undergraduate,3,"hands-on lab1: python, pandas and numpy",other->ml,,,,
16,,,,,,,undergraduate,4,regression: linear regression 1,other->ml,,,,
16,,,,,,,undergraduate,5,regression: linear regression 2,other->ml,,,,
16,,,,,,,undergraduate,6,regression: linear regression 3,other->ml,,,,
16,,,,,,,undergraduate,7,regression: linear regression 4,other->ml,,,,
16,,,,,,,undergraduate,8,hands on lab2: kaggle and regression,other->ml,,,,
16,,,,,,,undergraduate,9,classification: evaluation and k-nearest neighbors,other->ml,,,,
16,,,,,,,undergraduate,10,classificationL logistic regression and preceptron,other->ml,,,,
16,,,,,,,undergraduate,11,hands-on lab3: classification 1,other->ml,,,,
16,,,,,,,undergraduate,12,classification: decision trees,other->ml,,,,
