Class_Id,University,uuid,Course Name,URL Used,Semester,Sample,Education Level,Lecture,Notes,Code 1,Code 2,Code 3,Code 4,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,30,supervised learning-I: overview,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,31,supervised learning-II: model search and evaluation,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,32,supervised learning-III: deep learning,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,33,final review,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,34,final exam,none,,,,,
2,Purdue,Computer Security24-SP,Computer Security,https://engineering.purdue.edu/kak/compsec/Lectures.html,24-SP,Computer Security24-SP.pdf,undergraduate,1,"Introductory material, course administration handout",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,2,Some Basic Vocabulary of Computer and Network Security  and a Brief Review of Classical Encryption Techniques,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,3,Block Ciphers and the Data Encryption Standard,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,4,"Finite Fields (PART 1): Groups, Rings, and Fields",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,5,Finite Fields (PART 2): Modular Arithmetic,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,6,Finite Fields (PART 3): Polynomial Arithmetic,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,7,Finite Fields (PART 4): Finite Fields of the Form GF(2n),other->sec,,,,,
2,,,Computer Security,,,,undergraduate,8,AES: The Advanced Encryption Standard,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,9,Using Block and Stream Ciphers for Secure Wired and WiFi  Communications,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,10,Key Distribution for Symmetric Key Cryptography and  Generating Random Numbers,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,11,Prime Numbers and Discrete Logarithms,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,12,Public-Key Cryptography and the RSA Algorithm,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,13,"Certificates, Digital Signatures, and the Diffie-Hellman  Key Exchange Algorithm",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,14,Elliptic Curve Cryptography and Digital Rights Management,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,15,Hashing for Message Authentication,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,16,"TCP/IP Vulnerabilities and DoS Attacks: IP Spoofing, SYN     Flooding, and The Shrew DoS Attack",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,17,DNS and the DNS Cache Poisoning Attack,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,18,Packet Filtering Firewalls (Linux),other->sec,,,,,
2,,,Computer Security,,,,undergraduate,19,Proxy-Server Based Firewalls,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,20,"PGP, IPSec, SSL/TLS, and Tor Protocols",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,21,The Buffer Overflow Attack,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,22,Malware: Viruses and Worms,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,23,"Port and Vulnerability Scanning, Packet Sniffing, Intrusion  Detection, and Penetration Testing",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,24,Dictionary Attacks and Rainbow-Table Attacks on Password  Protected Systems,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,25,Security Issues in Structured Peer-to-Peer Networks,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,26,Small-World Peer-to-Peer Networks and Their Security Issues,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,27,"Web Security: PHP Exploits, SQL Injection, and the Slowloris  Attack",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,28,Web Security: Cross-Site Scripting and Other Browser-Side  Exploits,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,29,"Bots, Botnets, DDoS Attacks, and DDoS Attack Mitigation",other->sec,,,,,
2,,,Computer Security,,,,undergraduate,30,Mounting Targeted Attacks for Cyber Espionage with Trojans  and Social Engineering,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,31,Filtering Out Spam,other->sec,,,,,
2,,,Computer Security,,,,undergraduate,32,Security Vulnerabilities of Mobile Devices,other->sec,,,,,
3,Penn,Artificial Intelligence24-SP,Artificial Intelligence,https://ryanzhumich.github.io/442.html,24-SP,Artificial Intelligence24-SP.pdf,undergraduate,1,introduction & overview,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,2,intelligent agents,other->ml,architecture->agent,,,,
3,,,Artificial Intelligence,,,,undergraduate,3,class cancelled,none,,,,,
3,,,Artificial Intelligence,,,,undergraduate,4,search,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,5,uniformed search,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,6,informed search,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,7,games and adversarial search,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,8,games and adversarial search,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,9,no-classifical search,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,10,constraint satisfaction problem,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,11,constraint satisfaction problem,other->ml,threat model->constrained,,,,
3,,,Artificial Intelligence,,,,undergraduate,12,hw3,none,,,,,
3,,,Artificial Intelligence,,,,undergraduate,13,logical agents,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,14,propositional logic,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,15,first-order logic,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,16,spring break,none,,,,,
3,,,Artificial Intelligence,,,,undergraduate,17,spring break,none,,,,,
3,,,Artificial Intelligence,,,,undergraduate,18,logical inference,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,19,probablistic agents,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,20,naive bayes classifier,other->ml,architecture->reinforcement learning,,,,
3,,,Artificial Intelligence,,,,undergraduate,21,naive bayes classifier,other->ml,architecture->reinforcement learning,,,,
3,,,Artificial Intelligence,,,,undergraduate,22,bayesian networks,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,23,bayesian networks,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,24,bayesian networks,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,25,hidden markov models,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,26,hidden markov models,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,27,hidden markov models,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,28,machine learning,other->ml,,,,,
3,,,Artificial Intelligence,,,,undergraduate,29,neural networks and transformers,other->ml,architecture->llm/foundation models,,,,
3,,,Artificial Intelligence,,,,undergraduate,30,large language models,other->ml,architecture->llm/foundation models,,,,
3,,,Artificial Intelligence,,,,undergraduate,31,ai ethics,fairness,,,,,
4,Penn,Introduction to Computer and Network Security22-SP,Introduction to Computer and Network Security,https://syed-rafiul-hussain.github.io/index.php/teaching/cmpsc443-s22/,22-SP,Introduction to Computer and Network Security22-SP.pdf,undergraduate,1,introduction,other->sec,,,,,
4,,,,,,,undergraduate,2,security basics,other->sec,,,,,
4,,,,,,,undergraduate,3,cryptography,other->sec,,,,,
4,,,,,,,undergraduate,4,cryptography,other->sec,,,,,
4,,,,,,,undergraduate,5,class cancelled,other->sec,,,,,
4,,,,,,,undergraduate,6,hashing,other->sec,,,,,
4,,,,,,,undergraduate,7,asymmetric cryptography,other->sec,,,,,
4,,,,,,,undergraduate,8,asymmetric cryptography,other->sec,,,,,
4,,,,,,,undergraduate,9,key management,other->sec,,,,,
4,,,,,,,undergraduate,10,authentication,other->sec,,,,,
4,,,,,,,undergraduate,11,authentication,other->sec,,,,,
4,,,,,,,undergraduate,12,authentication protocols,other->sec,,,,,
4,,,,,,,undergraduate,13,software security: program vulnerabilities,other->sec,,,,,
4,,,,,,,undergraduate,14,software security: program vulnerabilities,other->sec,,,,,
4,,,,,,,undergraduate,15,software security: program vulnerabilities,other->sec,,,,,
4,,,,,,,undergraduate,16,software security: program vulnerabilities,other->sec,,,,,
4,,,,,,,undergraduate,17,spring break,none,,,,,
4,,,,,,,undergraduate,18,spring break,none,,,,,
4,,,,,,,undergraduate,19,safe programming,safety,,,,,
4,,,,,,,undergraduate,20,midterm exam,none,,,,,
4,,,,,,,undergraduate,21,safe programming,safety,,,,,
4,,,,,,,undergraduate,22,cellular programming access control,other->sec,,,,,
4,,,,,,,undergraduate,23,access control ,other->sec,,,,,
4,,,,,,,undergraduate,24,access control ,other->sec,,,,,
4,,,,,,,undergraduate,25,network security,other->sec,,,,,
4,,,,,,,undergraduate,26,network security,other->sec,,,,,
4,,,,,,,undergraduate,27,network protocols,other->sec,,,,,
4,,,,,,,undergraduate,28,web security,other->sec,,,,,
4,,,,,,,undergraduate,29,web security,other->sec,,,,,
4,,,,,,,undergraduate,30,web security,other->sec,,,,,
4,,,,,,,undergraduate,31,adversarial machine learning,security,privacy,,,,
4,,,,,,,undergraduate,32,privacy blockchain and bitcoin,privacy,,,,,
5,Saarland,Elements of Machine Learning23-WT,Elements of Machine Learning,https://cms.cispa.saarland/eml23/2/Lectures,23-WT,Elements of Machine Learning23-WT.pdf,undergraduate,1,organization,other,,,,,
5,,,,,,,undergraduate,2,bias and variance,fairness,,,,,
5,,,,,,,undergraduate,3,linear regresssion 1,other->ml,,,,,
5,,,,,,,undergraduate,4,linear regression 2,other->ml,,,,,
5,,,,,,,undergraduate,5,classification 1,other->ml,,,,,
5,,,,,,,undergraduate,6,classification 2,other->ml,,,,,
5,,,,,,,undergraduate,7,generalization,other->ml,,,,,
5,,,,,,,undergraduate,8,model selection,other->ml,,,,,
5,,,,,,,undergraduate,9,beyond linear,other->ml,,,,,
5,,,,,,,undergraduate,10,holiday,none,,,,,
5,,,,,,,undergraduate,11,holiday,none,,,,,
5,,,,,,,undergraduate,12,dimensionality reduction,other->ml,,,,,
5,,,,,,,undergraduate,13,clustering,other->ml,,,,,
5,,,,,,,undergraduate,14,trees and forests,other->ml,,,,,
5,,,,,,,undergraduate,15,support vector machines,other->ml,,,,,
5,,,,,,,undergraduate,16,neural networks,other->ml,,,,,
5,,,,,,,undergraduate,17,ML and real world,other-ml,threat model->physical,,,,
6,TU-Darmstadt,Introduction to Artificial Intelligence24-SM,Introduction to Artificial Intelligence,"https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000002,-N000036,-N0,-N374104174639151,-N374104174618152,-N0,-N0,-N0",24-SM,Introduction to Artificial Intelligence24-SM.pdf,undergraduate,1,foundations,other->ml,,,,,
6,,,,,,,undergraduate,2,"introduction, history of AI",other->ml,,,,,
6,,,,,,,undergraduate,3,intelligent agents,other->ml,architecture->agent,,,,
6,,,,,,,undergraduate,4,search,other->ml,,,,,
6,,,,,,,undergraduate,5,uninformed search,other->ml,,,,,
6,,,,,,,undergraduate,6,heuristic search,other->ml,,,,,
6,,,,,,,undergraduate,7,local search,other->ml,,,,,
6,,,,,,,undergraduate,8,constraint satisfaction problem,other->ml,threat model->physical,,,,
6,,,,,,,undergraduate,9,games: adversarial search,other->ml,,,,,
6,,,,,,,undergraduate,10,planning,other->ml,,,,,
6,,,,,,,undergraduate,11,planning in state space,other->ml,,,,,
6,,,,,,,undergraduate,12,planning in plan space,other->ml,,,,,
6,,,,,,,undergraduate,13,decisions under uncertainty,other->ml,,,,,
6,,,,,,,undergraduate,14,uncertainty and probability,other->ml,,,,,
6,,,,,,,undergraduate,15,bayesian networks,other->ml,,,,,
6,,,,,,,undergraduate,16,decision making,other->ml,,,,,
6,,,,,,,undergraduate,17,machine learning,other->ml,,,,,
6,,,,,,,undergraduate,18,neural networks,other->ml,,,,,
6,,,,,,,undergraduate,19,reinforcement learning,other->ml,architecture->reinforcement learning,,,,
6,,,,,,,undergraduate,20,philosophical foundations,other->ml,,,,,
7,UIUC,Artificial Intelligence22-SP,Artificial Intelligence,https://courses.grainger.illinois.edu/ece448/sp2022/lectures.html,22-SP,Artificial Intelligence22-SP.pdf,undergraduate,1,welcome & intro,other->ml,,,,,
7,,,,,,,undergraduate,2,probability,other->ml,,,,,
7,,,,,,,undergraduate,3,naive bayes,other->ml,,,,,
7,,,,,,,undergraduate,4,evaluation & generalization,other->ml,,,,,
7,,,,,,,undergraduate,5,learning,other->ml,,,,,
7,,,,,,,undergraduate,6,perceptron,other->ml,,,,,
7,,,,,,,undergraduate,7,linear regression 2,other->ml,,,,,
7,,,,,,,undergraduate,8,logistic regression,other->ml,,,,,
7,,,,,,,undergraduate,9,two layer neural net,other->ml,,,,,
7,,,,,,,undergraduate,10,pytorch,other->ml,,,,,
7,,,,,,,undergraduate,11,back-propagation,other->ml,,,,,
7,,,,,,,undergraduate,12,computer vision,other->ml,,,,,
7,,,,,,,undergraduate,13,security & privacy,security,privacy,,,,
7,,,,,,,undergraduate,14,exam 1,none,,,,,
7,,,,,,,undergraduate,15,exam 1,none,,,,,
7,,,,,,,undergraduate,16,search,other->ml,,,,,
7,,,,,,,undergraduate,17,A search,other->ml,,,,,
7,,,,,,,undergraduate,18,heuristics,other->ml,,,,,
7,,,,,,,undergraduate,19,constraint satisfication,other->ml,threat model->physical->constrained,,,,
7,,,,,,,undergraduate,20,partially observable search,other->ml,,,,,
7,,,,,,,undergraduate,21,bayesian networks,other->ml,,,,,
7,,,,,,,undergraduate,22,learning a bayesian network,other->ml,,,,,
7,,,,,,,undergraduate,23,hidden markov models,other->ml,,,,,
7,,,,,,,undergraduate,24,HMM Inference,other->ml,,,,,
7,,,,,,,undergraduate,25,Part of Speech Tagging,other->ml,,,,,
7,,,,,,,undergraduate,26,Recurrent Neural Nets,other->ml,,,,,
7,,,,,,,undergraduate,27,Causal networks,other->ml,,,,,
7,,,,,,,undergraduate,28,fairness & bias,fairness,,,,,
7,,,,,,,undergraduate,29,exam 2,none,,,,,
7,,,,,,,undergraduate,30,exam 2,none,,,,,
7,,,,,,,undergraduate,31,game theory,other->ml,,,,,
7,,,,,,,undergraduate,32,no lecture,none,,,,,
7,,,,,,,undergraduate,33,minimax and alpha-beta,other->ml,,,,,
7,,,,,,,undergraduate,34,stochastic games,other->ml,,,,,
7,,,,,,,undergraduate,35,markov decision processes,other->ml,,,,,
7,,,,,,,undergraduate,36,model based RL,other->ml,architecture->reinforcement learning,,,,
7,,,,,,,undergraduate,37,model free RL,other->ml,architecture->reinforcement learning,,,,
7,,,,,,,undergraduate,38,Deep Reinforcement learning,other->ml,architecture->reinforcement learning,,,,
7,,,,,,,undergraduate,39,actor-critic deep RL,other->ml,architecture->reinforcement learning,,,,
7,,,,,,,undergraduate,40,robots,other->ml,,,,,
7,,,,,,,undergraduate,41,configuration space,other->ml,,,,,
7,,,,,,,undergraduate,42,ethics and autonomy,fairness,,,,,
7,,,,,,,undergraduate,43,final exam review,none,,,,,
7,,,,,,,undergraduate,44,final exam,none,,,,,
8,UIUC,Applied Machine Learning24-SP,Applied Machine Learning,Applied Machine Learning (CS 441) – Spring 2024,24-SP,Applied Machine Learning24-SP.pdf,undergraduate,1,Introduction,other->ml,,,,,
8,,,,,,,undergraduate,2,Fundamentals of Learning,other->ml,,,,,
8,,,,,,,undergraduate,3,Working with Data,other->ml,,,,,
8,,,,,,,undergraduate,4,clustering and retrieval,other->ml,,,,,
8,,,,,,,undergraduate,5,knn classification and regression,other->ml,,,,,
8,,,,,,,undergraduate,6,"dimensionality reductionL PCA, embeddings",other->ml,,,,,
8,,,,,,,undergraduate,7,"linear regression, regularization",other->ml,,,,,
8,,,,,,,undergraduate,8,hw1,none,,,,,
8,,,,,,,undergraduate,9,"linear classifiers: logistic regression, SVM",other->ml,,,,,
8,,,,,,,undergraduate,10,Probability and Naive Bayes,other->ml,,,,,
8,,,,,,,undergraduate,11,EM and Latent Variables,other->ml,,,,,
8,,,,,,,undergraduate,12,"density estimation: MoG, Hists, KDE",other->ml,,,,,
8,,,,,,,undergraduate,13,hw2,none,,,,,
8,,,,,,,undergraduate,14,outliers and robust estimation ,other->ml,,,,,
8,,,,,,,undergraduate,15,decision trees,other->ml,,,,,
8,,,,,,,undergraduate,16,ensembles and random forests,other->ml,,,,,
8,,,,,,,undergraduate,17,deep learning,other->ml,,,,,
8,,,,,,,undergraduate,18,stochastic gradient descent,other->ml,,,,,
8,,,,,,,undergraduate,19,hw3,none,,,,,
8,,,,,,,undergraduate,20,principles of learning + review,other->ml,,,,,
8,,,,,,,undergraduate,21,exam 1,none,,,,,
8,,,,,,,undergraduate,22,spring break,none,,,,,
8,,,,,,,undergraduate,23,MLPs and Backprop,other->ml,,,,,
8,,,,,,,undergraduate,24,CNN and keys to Deep Learning,other->ml,,,,,
8,,,,,,,undergraduate,25,Deep Learning Optimization and Computer Vision,other->ml,,,,,
8,,,,,,,undergraduate,26,Words and Attention,other->ml,,,,,
8,,,,,,,undergraduate,27,hw4,none,,,,,
8,,,,,,,undergraduate,28,transformers in language and vision,other->ml,architecture->llm/foundation models,,,,
8,,,,,,,undergraduate,29,foundation models: CLIP and GPT-3,other->ml,architecture->generative models,,,,
8,,,,,,,undergraduate,30,applications,other->ml,,,,,
8,,,,,,,undergraduate,31,ethics and impact of AI,other->ml,fairness,,,,
8,,,,,,,undergraduate,32,hw5,none,,,,,
8,,,,,,,undergraduate,33,building and deploying ML,other->ml,,,,,
8,,,,,,,undergraduate,34,audio and 1D signals,other->ml,,,,,
8,,,,,,,undergraduate,35,reinforcement learning,other->ml,architecture->reinforcement learning,,,,
8,,,,,,,undergraduate,36,student ML applications,other->ml,,,,,
8,,,,,,,undergraduate,37,summary and looking forward,other->ml,,,,,
8,,,,,,,undergraduate,38,final project due,none,,,,,
8,,,,,,,undergraduate,39,final exam,none,,,,,
9,UIUC,Trustworthy Machine Learning24-SP,Trustworthy Machine Learning,https://trustworthyartificialintelligence.github.io/class/trustML24/trustML2024.html,24-SP,Applied Machine Learning24-SP.pdf,undergraduate,1,introduction,other->ml,,,,,
9,,,,,,,undergraduate,2,"statistical foundation: linear regression, ridgem and lasso",other->ml,,,,,
9,,,,,,,undergraduate,3,"lasso variable selection, consistenty, heterogeneity",other->ml,,,,,
9,,,,,,,undergraduate,4,"ridge, dat aaugmentation, heteroscedasticity",other->ml,,,,,
9,,,,,,,undergraduate,5,robustness: domain adaption,other->ml,,,,,
9,,,,,,,undergraduate,6,robustness: domain generalization,other->ml,,,,,
9,,,,,,,undergraduate,7,robustness: spurious features,other->ml,,,,,
9,,,,,,,undergraduate,8,robustness: adversarial robustness,other->ml,,,,,
9,,,,,,,undergraduate,9,spring break,none,,,,,
9,,,,,,,undergraduate,10,fairness: outcome discrimination,fairness,,,,,
9,,,,,,,undergraduate,11,fairness: quality disparity,fairness,,,,,
9,,,,,,,undergraduate,12,fairness: applications in healthcare,fairness,,,,,
9,,,,,,,undergraduate,13,privacy preservation and federated learning,privacy->defense,threat model->federated learning,,,,
9,,,,,,,undergraduate,14,interpretability,explainability,,,,,
9,,,,,,,undergraduate,15,project presentation,other->ml,,,,,
9,,,,,,,undergraduate,16,project presentation,other->ml,,,,,
10,UIUC,Machine Learning24-SP,Machine Learning,https://courses.grainger.illinois.edu/cs446/sp2024/,24-SP,Machine Learning24-SP.pdf,undergraduate,1,"introduction,KNN",other->ml,,,,,
10,,,,,,,undergraduate,2,naive bayes,other->ml,,,,,
10,,,,,,,undergraduate,3,linear regression,other->ml,,,,,
10,,,,,,,undergraduate,4,logistic regression,other->ml,,,,,
10,,,,,,,undergraduate,5,support vector machines,other->ml,,,,,
10,,,,,,,undergraduate,6,kernel methods,other->ml,,,,,
10,,,,,,,undergraduate,7,"decision trees, random forests",other->ml,,,,,
10,,,,,,,undergraduate,8,boosting,other->ml,,,,,
10,,,,,,,undergraduate,9,PAC Learning theory,other->ml,,,,,
10,,,,,,,undergraduate,10,PAC Learning theory,other->ml,,,,,
10,,,,,,,undergraduate,11,perceptron algorithm,other->ml,,,,,
10,,,,,,,undergraduate,12,"deep learning: MLPs, backpropagation",other->ml,,,,,
10,,,,,,,undergraduate,13,deep learning: convolutional neural networks,other->ml,,,,,
10,,,,,,,undergraduate,14,"deep learning: sequential models, RNNs, LSTMs",other->ml,,,,,
10,,,,,,,undergraduate,15,"deep learning: attention, transformers",other->ml,architecture->llm/foundation,,,,
10,,,,,,,undergraduate,16,mid-term exam,none,,,,,
10,,,,,,,undergraduate,17,spring break,none,,,,,
10,,,,,,,undergraduate,18,spring break,none,,,,,
10,,,,,,,undergraduate,19,principal component analysis/SVD,other->ml,,,,,
10,,,,,,,undergraduate,20,K-means,other->ml,,,,,
10,,,,,,,undergraduate,21,gaussian mixture models,other->ml,,,,,
10,,,,,,,undergraduate,22,information theory 101,other->ml,,,,,
10,,,,,,,undergraduate,23,auto-encoders/variational autoencoderse,other->ml,,,,,
10,,,,,,,undergraduate,24,GAN,other->ml,,,,,
10,,,,,,,undergraduate,25,diffusion models/ score matching,other->ml,architecture->llm/foundation,,,,
10,,,,,,,undergraduate,26,self-supervised learning/contrasive learning,other->ml,,,,,
10,,,,,,,undergraduate,27,language modeling/foundation models,architecture->llm/foundation,,,,,
10,,,,,,,undergraduate,28,markov decision processes,other->ml,,,,,
10,,,,,,,undergraduate,29,value and policy gradient,other->ml,,,,,
10,,,,,,,undergraduate,30,course review,other->ml,,,,,
10,,,,,,,undergraduate,31,final exam,none,,,,,
11,UIUC,Introduction to Computer Security25-SP,Introduction to Computer Security,https://courses.grainger.illinois.edu/cs461/sp2025/index.html,25-SP,Introduction to Computer Security25-SP.pdf,undergraduate,1,introuctions and course overview: ethics and law,other->sec,,,,,
11,,,,,,,undergraduate,2,"security mindset, x86 assembly review",other->sec,,,,,
11,,,,,,,undergraduate,3,buffer overflow,other->sec,,,,,
11,,,,,,,undergraduate,4,control flow hijacking,other->sec,,,,,
11,,,,,,,undergraduate,5,control flow hijacking,other->sec,,,,,
11,,,,,,,undergraduate,6,malware,other->sec,,,,,
11,,,,,,,undergraduate,7,web security introduction,other->sec,,,,,
11,,,,,,,undergraduate,8,web security,other->sec,,,,,
11,,,,,,,undergraduate,9,database security,other->sec,,,,,
11,,,,,,,undergraduate,10,software testing,other->sec,,,,,
11,,,,,,,undergraduate,11,isolation and authorization,other->sec,,,,,
11,,,,,,,undergraduate,12,authentication,other->sec,,,,,
11,,,,,,,undergraduate,13,auding and forensics,other->sec,,,,,
11,,,,,,,undergraduate,14,harware security,other->sec,,,,,
11,,,,,,,undergraduate,15,midterm review,none,,,,,
11,,,,,,,undergraduate,16,midterm exam,none,,,,,
11,,,,,,,undergraduate,17,cryptographic hash functions ,other->sec,,,,,
11,,,,,,,undergraduate,18,symmetric encryption,other->sec,,,,,
11,,,,,,,undergraduate,19,symmetric encryption,other->sec,,,,,
11,,,,,,,undergraduate,20,asymmetric encryption and key exchange,other->sec,,,,,
11,,,,,,,undergraduate,21,message integrity,other->sec,,,,,
11,,,,,,,undergraduate,22,network stack,other->sec,,,,,
11,,,,,,,undergraduate,23,transport-layer security,other->sec,,,,,
11,,,,,,,undergraduate,24,TLS,other->sec,,,,,
11,,,,,,,undergraduate,25,Link-and-Network-Layer Security,other->sec,,,,,
11,,,,,,,undergraduate,26,domain name system security,other->sec,,,,,
11,,,,,,,undergraduate,27,denial of service,other->sec,,,,,
11,,,,,,,undergraduate,28,anonymity,other->sec,,,,,
11,,,,,,,undergraduate,29,final exam review,none,,,,,
12,UIUC,Computer Security 224-FL,Computer Security 2,https://chandrasekaran-group.github.io/courses/cs463/home/,24-FL,Computer Security 224-FL.pdf,undergraduate,1,course plan,none,,,,,
12,,,,,,,undergraduate,2,introduction,other->sec,,,,,
12,,,,,,,undergraduate,3,social networks,other->sec,,,,,
12,,,,,,,undergraduate,4,de-identification,privacy,,,,,
12,,,,,,,undergraduate,5,machine learning ,threat model->black-box,threat model->white-box,security->poisoning->general->attack,,security->evasion->attack,safety->misuse->deepfake
12,,,,,,,undergraduate,6,machine learning,other->ml,,,,,
12,,,,,,,undergraduate,7,basic crypto,other->sec,,,,,
12,,,,,,,undergraduate,8,crypto construct,other->sec,,,,,
12,,,,,,,undergraduate,9,trusted computing,other->sec,,,,,
12,,,,,,,undergraduate,10,trusted computing,other->sec,,,,,
12,,,,,,,undergraduate,11,bitcoin,other->sec,,,,,
12,,,,,,,undergraduate,12,information flow,other->sec,,,,,
