Class_Id,University,uuid,Course Name,URL Used,Semester,Sample,Education Level,Lecture,Notes,Code 1,Code 2,Code 3,Code 4
10,,,,,,,,9,Lecture 8 : Optimization for ML,other->ml,,,
10,,,,,,,,10,Lecture 9 : Stochastic Gradient Descent / Logistic Regression,other->ml,,,
10,,,,,,,,11,Lecture 10 : Feature Engineering / Regularization,other->ml,,,
10,,,,,,,,12,Exam 1 Review OH,none,,,
10,,,,,,,,13,Lecture 11 : Neural Networks,other->ml,,,
10,,,,,,,,14,Exam 1 Review OH,none,,,
10,,,,,,,,15,Lecture 12 : Backpropagation I,other->ml,,,
10,,,,,,,,16,Lecture 13 : Backpropagation II,other->ml,,,
10,,,,,,,,17,Lecture 14 : Societal Impacts of ML,other->ml,,,
10,,,,,,,,18,Spring break,none,,,
10,,,,,,,,19,	Lecture 15 : PAC Learning,other->ml,,,
10,,,,,,,,20,Lecture 16 : PAC Learning / MLE & MAP,other->ml,,,
10,,,,,,,,21,Lecture 17 : CNNs and RNNs,other->ml,,,
10,,,,,,,,22,Lecture 18 : RNN-LMs and Transformers-LMs,other->ml,,,
10,,,,,,,,23,"Lecture 19 : AutoDiff, Pre-training, Fine-Tuning, In-context",other->ml,,,
10,,,,,,,,24,Lecture 20 : Reinforcement Learning: MDPs,other->ml,,,
10,,,,,,,,25,Exam 2,none,,,
10,,,,,,,,26,Lecture 21 : Reinforcement Learning: Value/Policy Iteration,other->ml,,,
10,,,,,,,,27,Lecture 22 : Reinforcement Learning: Q-Learning / Deep RL,other->ml,,,
10,,,,,,,,28,Lecture 23 : Recommender Systems / Ensemble Methods: Boosting,other->ml,,,
10,,,,,,,,29,Lecture 24 : Ensemble Methods: Bagging,other->ml,,,
10,,,,,,,,30,Lecture 25 : K-Means / Dimensionality Reduction: PCA,other->ml,,,
10,,,,,,,,31,Lecture 26 : Special Topics: Generative Models for Vision / Significance Testing for ML,other->ml,,,
10,,,,,,,,32,Lecture 27 : Special Topics: Bayesian Methods for Machine Learning,other->ml,,,
11,CMU,,Introduction to Computer Security,https://www.andrew.cmu.edu/course/18-330/2025s/,25-SP,CMU-intro-to-security.pdf,undergrad,1,"Security Principles: 1. Introduction, Ethics, and Course Overview",other->sec,,,
11,,,,,,,,2,"Security Principles: 2. Threat Models, Trusted Computing Bases, and Design Principles",other->sec,,,
11,,,,,,,,3,Software Security: 3. Execution Semantics,other->sec,,,
11,,,,,,,,4,No Class,none,,,
11,,,,,,,,5,Software Security: 4. Control-Flow Attacks,other->software sec,,,
11,,,,,,,,6,Software Security: Recitation: Thinking Up Exploits - Part 1 ,other->software sec,,,
11,,,,,,,,7,Software Security: 5. Deployed Mitigations and Return Oriented Programming Attacks ,other->software sec,,,
11,,,,,,,,8,Software Security: 6. Defenses: CFI and Type Safety,other->software sec,,,
11,,,,,,,,9,Software Security: Recitation: Thinking Up Exploits - Part 2,other->software sec,,,
11,,,,,,,,10,Software Security: 7. Type Systems and Verification,other->software sec,,,
11,,,,,,,,11,Software Security: 8. Verification and Dafny,other->software sec,,,
11,,,,,,,,12,Software Security: Recitation: Provably Correct Software,other->software sec,,,
11,,,,,,,,13,Software Security: 9. Code Analysis and Isolation Techniques,other->software sec,,,
11,,,,,,,,14,Crypto: 10. Introduction; Randomness and PRGs,other->software sec,,,
11,,,,,,,,15,Review: Software & Systems Security,other->software sec,,,
11,,,,,,,,16,Exam: Security Principles and Software Security ,none,,,
11,,,,,,,,17,Crypto: 11. Pseudorandom functions and permutations,other->cryptography,,,
11,,,,,,,,18,Crypto: Recitation: Proofs by Reduction,other->cryptography,,,
11,,,,,,,,19,"Crypto: 12. Secrecy, block ciphers, and padding oracles",other->cryptography,,,
11,,,,,,,,20,"Crypto: 13. MACs, hashes, and auth-enc",other->cryptography,,,
11,,,,,,,,21,Crypto: 14. Digital signatures and the RSA trapdoor permutation,other->cryptography,,,
11,,,,,,,,22,no class,none,,,
11,,,,,,,,23,no class,none,,,
11,,,,,,,,24,no recitation,none,,,
11,,,,,,,,25,Crypto: 15. Public Key Cryptography,other->cryptography,,,
11,,,,,,,,26,Crypto: 16. Blockchains and Cryptocurrencies,other->cryptography,,,
11,,,,,,,,27,Crypto: Recitation: Cryptocurrencies,other->cryptography,,,
11,,,,,,,,28,Systems Security: 17. Trusted Computing,other->system sec,,,
11,,,,,,,,29,Network Security: 18. Introduction to Network Security,other->network sec,,,
11,,,,,,,,30,Review: Crypto,other->cryptography,,,
11,,,,,,,,31,Exam: Crypto,none,,,
11,,,,,,,,32,Web Security: 19. Attacks,other->web sec,,,
11,,,,,,,,33,Web Security: Recitation: Web Hacking,other->web sec,,,
11,,,,,,,,34,Web Security: 20. Defenses,other->web sec,,,
11,,,,,,,,35,Systems Security: 21. Authorization and Access Control,other->system sec,,,
11,,,,,,,,36,No Recitation,none,,,
11,,,,,,,,37,Systems Security: 22. Hardware Security,other->system sec,,,
11,,,,,,,,38, Systems Security: 23. AI and Security,security,privacy,fairness,
11,,,,,,,,39,System Security: Recitation: AI Hacking,other->system sec,,,
11,,,,,,,,40, Human Factors: 24. Privacy,other->human factor,,,
11,,,,,,,,41,Human Factors: 25. Making Security Usable,other->human factor,,,
11,,,,,,,,42,Human Factors: 26. Law and Public Policy ,other->human factor,,,
11,,,,,,,,43,"Review: Systems (OS, Web, Network), and Human Factors",other->sec,,,
11,,,,,,,,44,"Exam: Network, Web, and Human Factors",none,,,
12,CMU,,Software Foundations of Security & Privacy,https://15316-cmu.github.io/2024/schedule.html,,15-316 Software Foundations of Security & Privacy.pdf,undergrad,1,introduction,other->sec,,,
12,,,,,,,,2,Propositional Logic and Proof,other->sec,,,
12,,,,,,,,3,Dynamic Logic,other->sec,,,
12,,,,,,,,4,Semantics of Programs,other->sec,,,
12,,,,,,,,5,Proving Safety,other->sec,,,
12,,,,,,,,6,memory safety,other->sec,,,
12,,,,,,,,7,Generating Verification Conditions,other->sec,,,
12,,,,,,,,8,Symbolic Evaluation,other->sec,,,
12,,,,,,,,9,Program Analysis,other->sec,,,
12,,,,,,,,10,Beyond Safety Properties,other->sec,,,
12,,,,,,,,11,Information Flow,other->sec,,,
12,,,,,,,,12,Declassification,other->sec,,,
12,,,,,,,,13,Midterm Review,none,,,
12,,,,,,,,14,Midterm Exam,none,,,
12,,,,,,,,15,Fall break,none,,,
12,,,,,,,,16,Fall break,none,,,
12,,,,,,,,17,Termination-Sensitive Noninterference,other->sec,,,
12,,,,,,,,18,Timing Attacks,other->sec,,,
12,,,,,,,,19,Authorization Logic,other->sec,,,
12,,,,,,,,20,Proof Search in Authorization Logic,other->sec,,,
12,,,,,,,,21,Democracy Day,none,,,
12,,,,,,,,22,Proof Representation,other->sec,,,
12,,,,,,,,23,Cancelled,none,,,
12,,,,,,,,24,Bootstrapping Trust,other->sec,,,
12,,,,,,,,25,Lab 3 Preview,none,,,
12,,,,,,,,26,Functional and Higher-Order Information Flow,other->sec,,,
12,,,,,,,,27,Project Day,none,,,
12,,,,,,,,28,Thanksgiving,none,,,
12,,,,,,,,29,Intermittent Computing,other->sec,,,
12,,,,,,,,30,Differential Privacy,privacy->differential privacy,,,
13,UTS,,cybersecurity,,21-FL,https://drive.google.com/file/d/1JhLZdrCIAAnmn8BPzQ2ZFFeOicOgZWAo/view?usp=drive_link,,1,"Class logistics, introduction to Cybersecurity",other->sec,,,
13,,,,,,,,2,"Web security, security issues with web browser and web ",other->network sec,,,
13,,,,,,,,3,Key management protocols and public key infrastructure,other->network sec,,,
13,,,,,,,,4,TCP/IP security,other->network sec,,,
13,,,,,,,,5,operating system security,other->system sec,,,
13,,,,,,,,6,no class,none,,,
13,,,,,,,,7,mid session,none,,,
13,,,,,,,,8,intrusion detection and prevention,other->system sec,,,
13,,,,,,,,9,VPN security and firewall,other->system sec,,,
13,,,,,,,,10,"access control, wireless deice security",other->network sec,,,
13,,,,,,,,11,guest lecture on cyber strategy and governance,other->network sec,,,
13,,,,,,,,12,guest lecture on cyber threat intelligence,other->network sec,,,
13,,,,,,,,13,"secure coding principles, subject revision and final exam information",other->network sec,,,
14,MSU,,introduction to machine learning,https://www.cse.msu.edu/~kordjams/CSE-404-Spring-23,23-SP,Introduction to Machine Learning,undergrad,1,introduction to machine learning,other->ml,,,
14,,,,,,,,2,concept learning general to specific,other->ml,,,
14,,,,,,,,3,learning rules,other->ml,,,
14,,,,,,,,4,decision trees,other->ml,,,
14,,,,,,,,5,neural networks,other->ml,,,
14,,,,,,,,6,deep neural networks,other->ml,,,
14,,,,,,,,7,support vector machines,other->ml,,,
14,,,,,,,,8,probabilistic models,other->ml,,,
14,,,,,,,,9,similarity-based models,other->ml,,,
14,,,,,,,,10,experimental evaluation,other->ml,,,
14,,,,,,,,11,computational learning theory,other->ml,,,
14,,,,,,,,12,"ensemble learning, boosting",other->ml,,,
14,,,,,,,,13,clustering,other->ml,,,
15,MSU,,Introduction to AI,https://www.cse.msu.edu/~kordjams/CSE-440-Fall-19,19-FL,Introduction to AI,undergrad,1,intro,other->ml,,,
15,,,,,,,,2,labor day holiday,none,,,
15,,,,,,,,3,intelligent agents,other->ml,,,
15,,,,,,,,4,search,other->ml,,,
15,,,,,,,,5,search continue,other->ml,,,
15,,,,,,,,6,search continue,other->ml,,,
15,,,,,,,,7,local search,other->ml,,,
15,,,,,,,,8,adversarial search,other->ml,,,
15,,,,,,,,9,constraint satisfaction,other->ml,,,
15,,,,,,,,10,constraint satisfaction,other->ml,,,
15,,,,,,,,11,finish csp + logic,other->ml,,,
15,,,,,,,,12,logic,other->ml,,,
15,,,,,,,,13,midterm review,none,,,
15,,,,,,,,14,midterm,none,,,
15,,,,,,,,15,first order logic,other->ml,,,
15,,,,,,,,16,first order logic,other->ml,,,
15,,,,,,,,17,prolog + intro machine learning,other->ml,,,
15,,,,,,,,18,prolog - practical session,other->ml,,,
15,,,,,,,,19,concept learning,other->ml,,,
15,,,,,,,,20,decision trees,other->ml,,,
15,,,,,,,,21,rule learning / inductive logic,other->ml,,,
15,,,,,,,,22,finish ILP,other->ml,,,
15,,,,,,,,23,neural networks,other->ml,,,
15,,,,,,,,24,neural networks,other->ml,,,
15,,,,,,,,25,neural networks,other->ml,,,
15,,,,,,,,26,probabilistic inference,other->ml,,,
15,,,,,,,,27,bayesian networks,other->ml,,,
15,,,,,,,,28,bayesian networks,other->ml,,,
15,,,,,,,,29,markov decision processes,other->ml,,,
16,MSU,,Introduction to Computer Security,https://eecs388.org/index.html,25-WT,EECS 388 - Course Schedule.pdf,undergrad,1,security mindset,other->sec,,,
16,,,,,,,,2,message integrity,other->sec,,,
16,,,,,,,,3,randomness and pseudorandomness,other->sec,,,
16,,,,,,,,4,no lecture,none,,,
16,,,,,,,,5,confidentiality,other->sec,,,
16,,,,,,,,6,combining confidentiality and integrity,other->sec,,,
16,,,,,,,,7,"key exchange, public key cryptography",other->sec,,,
16,,,,,,,,8,web platform,other->sec,,,
16,,,,,,,,9,web attacks and defenses,other->sec,,,
16,,,,,,,,10,https and the web api,other->sec,,,
16,,,,,,,,11,https attacks and defenses,other->sec,,,
16,,,,,,,,12,networking 101,other->sec,,,
16,,,,,,,,13,networking 102,other->sec,,,
16,,,,,,,,14,network defense,other->sec,,,
16,,,,,,,,15,midterm review session,none,,,
16,,,,,,,,16,authentication and passwords,other->sec,,,
16,,,,,,,,17,control hijacking,other->sec,,,
16,,,,,,,,18,control hijacking,other->sec,,,
16,,,,,,,,19,access control and isolation,other->sec,,,
16,,,,,,,,20,data privacy,other->sec,,,
16,,,,,,,,21,data privacy,other->sec,,,
16,,,,,,,,22,data privacy,other->sec,,,
16,,,,,,,,23,digital forensics,other->sec,,,
16,,,,,,,,24,malware,other->sec,,,
16,,,,,,,,25,censorship,other->sec,,,
16,,,,,,,,26,machine learning security,general ml & security,,,
16,,,,,,,,27,physical security,other->sec,,,
16,,,,,,,,28,final review,none,,,
17,Stanford University,,Computer and Network Security,https://cs155.stanford.edu/syllabus.html,25-SP,CS155 Course Syllabus.pdf,undergrad,1,course overview,other->sec,,,
17,,,,,,,,2,control hijacking attacks: exploits,other->sec,,,
17,,,,,,,,3,control hijacking attacks: defenses,other->sec,,,
17,,,,,,,,4,"principle of least privilege, access control, and operating systems security",other->sec,,,
17,,,,,,,,5,isolation and sandboxing,other->sec,,,
17,,,,,,,,6,testing for vulnerabilties: guest speakers,other->sec,,,
17,,,,,,,,7,processor and microarchitecture security: intel TDX and the spectre attack,other->sec,,,
17,,,,,,,,8,web security model,other->sec,,,
17,,,,,,,,9,web attack,other->sec,,,
17,,,,,,,,10,web defenses,other->sec,,,
17,,,,,,,,11,brief overview of cryptography,other->sec,,,
17,,,,,,,,12,https: goal and pitfalls,other->sec,,,
17,,,,,,,,13,security of AI system,other->sec,,,
17,,,,,,,,14,cloud security: guest speaker,other->sec,,,
17,,,,,,,,15,internet protocols,other->sec,,,
17,,,,,,,,16,internet security,other->sec,,,
17,,,,,,,,17,memorial day,none,,,
17,,,,,,,,18,DoS attacks and network defenses,other->sec,,,
