Class_Id,Name,uuid,Course Name,Education Level,URL Used,Semester,IRR,Sample,Lecture,Notes,Code 1,Code 2,Code 3,Code 4,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,11,blackbox membership inference attack,privacy->membership inference->attack,architecture->generative,knowledge-black-box,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,12,membership inference on model distillation,privacy->membership inference->attack,,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,13,scalable extraction of training data,privacy->Data Extraction/Data Reconstruction/Model Inversion->attack,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,14,privacy evaluation benchmark,privacy,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,15,Practitioners on AI products,privacy,,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,16,evaluating privacy norms,privacy,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,17,innocent pretrained lm turns into privacy traps,privacy->Data Extraction/Data Reconstruction/Model Inversion,privacy->membership inference,architecture->llm/foundation,knowledge-black-box,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,18,machine unlearning,privacy->unlearning,,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,19,explore privacy and incentives,other->priv,,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,20,transferrable embedded inversion attack,threat model->transferable,privacy,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,21,text embedded inversion security,knowledge-black-box,privacy->model->model inversion,architecture->llm/foundation,,
3,Yang Zhang,Privacy Enhancing Technologies14-SU,Privacy Enhancing Technologies,graduate,https://cms.cispa.saarland/pets/,14-SU,recoded,Privacy Enhancing Technologies27-SU,1,Attribute Inference,privacy->data reconstruction/data extraction/model inversion,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,2,Holiday,none,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,3,Graph De-anonymization,other,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,4,Yang is traveling,none,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,5,Pytorch Introduction,other->programming,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,6,Yang is traveling,none,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,7,Machine Learning Privacy: Dataset Reconstruction,privacy->membership inference,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,8,Machine Learning Privacy: Membership Inference,privacy->data reconstruction/data extraction/model inversion,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,9,Holiday,none,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,10,Property Inference and Backdoor,security->poisoning->backdoor,privacy->property inference,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,11,Model stealing,privacy->stealing/model extraction/model extraction,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,12,"Unicity, Attribute Inferencce, location inference",privacy->data reconstruction/data extraction/model inversion,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,13,Biomedical Privacy: Linking Attack and Membership Inference,privacy->membership inference,,,,
3,Yang Zhang,,Privacy Enhancing Technologies,graduate,,,,,14,Q&A,none,,,,
4,Neil Gong,Machine Learning in Adversarial Settings23-SP,Machine Learning in Adversarial Settings,graduate,ECE 663: Machine Learning in Adversarial Settings (Spring 2023),23-SP,recoded,Machine Learning in Adversarial Settings23-SP,1,course overview,security,privacy,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,2,Holiday,none,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,3,adversarial examples (white box),security->evasion,knowledge-white-box,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,4,adversarial examples (black box),security->evasion,knowledge-black-box,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,5,empirical defenses against adversarial examples,security->evasion->defense->heuristic,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,6,certified defenses against adversarial examples,security->evasion->defense->certified,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,7,data poisoning,security->poisoning->general->attack,architecture->svm,architecture->nn,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,8,data poisoning,security->poisoning->general->attack,architecure->recommendation system,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,9,data poisoning,security->poisoning->general->attack,architecure->graph-nn,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,10,model poisoning,security->poisoning->general->attack,threat model->federated learning,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,11,certified def. data poi.,security->poisoning->general->defense->certified,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,12,backdoor,security->poisoning->backdoor->attack,architecture->nn,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,13,backdoor,security->poisoning->backdoor->attack,architecture->llm/foundation model,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,14,empir. def. backdoor,security->poisoning->backdoor->defense->heuristic,architecture->nn,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,15,debug data poisoning,security->poisoning->backdoor->defense->heuristic,architecture->nn,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,16,model stealing,privacy->stealing/model extraction,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,17,def. against model stealing,privacy->stealing/model extraction->defense,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,18,Spring Recess,none,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,19,Spring Recess,none,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,20,intellectual property protection,security->poisoning->backdoor->defense->heuristic,architecture->nn,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,21,model inversion & membership inference,privacy->data->Data Extraction/Data Reconstruction/Model Inversion,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,22,priv. attack fed. learning,privacy->data->Data Extraction/Data Reconstruction/Model Inversion,threat model->federated learning,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,23,privacy-preserving machine learning,privacy->differential privacy->defense,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,24,priv preserving crypto,privacy->crypto->defense,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,25,data tracing,valid,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,26,misuse of ml,safety,,,,
4,Neil Gong,,Machine Learning in Adversarial Settings,graduate,,,,,27,deepfakes,safety->deepfake,,,,
5,Bo Li,Special Topics on Adversarial Machine Learning22-FL,Special Topics on Adversarial Machine Learning,graduate,https://aisecure.github.io/,22-FL,recoded,Special Topics on Adversarial Machine Learning22-FL,1,course overview,security,privacy,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,2,evasion attacks against machine learning models,security->evasion->attack,architecture->nn,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,3,evasion attacks against machine learning models,security->evasion->attack,threat model->physical,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,4,evasion attacks against machine learning models,security->evasion->attack,architecture->generative ai,architecture->RL,architecture->nn,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,5,evasion attacks against machine learning models (blackbox attacks),security->evasion->attack,knowledge-black-box,architecture->nn,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,6,detection against adversarial attacks,security->evasion->defense->heuristic,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,7,defenses against adversarial attacks (empirical),security->evasion->defense->heuristic,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,8,defenses against adversarial attacks (theoretic),security->evasion->defense->certified,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,9,poisoning attacks against machine learning models,security->poisoning->general->attack,architecture->svm,architecture->nn,architecture->collaborative filter,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,10,guest lecture,safety,knowledge-black-box,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,11,guest lecture,security->evasion,security->poisoning->backdoor,privacy->machine unlearning,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,12,proposal report,none,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,13,poisoning attacks analysis,security->poisoning->general->attack,security->poisoning->general->defense,security->poisoning->backdoor->attack,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,14,defenses against poisoning attacks,security->poisoning->general->defense->certified,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,15,robust data valuation,valid,knowledge-black-box,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,16,guest lecture,none,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,17,robustness of graph neural networks,security,architecure->graph-nn,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,18,beyond images: adversarial attacks on NLP,security->evasion->attack,architecture->llm/foundation,architecure->graph-nn,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,19,generative adversarial networks,other->GAN,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,20,generative adversarial networks,other->GAN,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,21,Privacy in Machine Learning Models,privacy->membership inference->attack,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,22,Differentially Private Machine Learning Models,privacy->differential privacy->defense,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,23,Differential Privacy on Graphs,privacy->differential privacy->defense,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,24,Guest Lecture,other->ml,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,25,Game Theoretic Analysis for Adversarial Learning,security,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,26,Fairness of Machine Learning,fairness,,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,27,Robustness Reinforcement Learning,security,architecture->reinforcement learning,,,
5,Bo Li,,Special Topics on Adversarial Machine Learning,graduate,,,,,28,Robustness In Distributed Learning,security,architecture->reinforcement learning,,,
6,Bo Li,Trustworthy Machine Learning23-SP,Trustworthy Machine Learning,undergraduate,https://aisecure.github.io/TEACHING/CS442/CS442.html,23-SP,recoded,Trustworthy Machine Learning23-SP,1,course intro,trustworthy,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,2,supervised learning 1,other->ml,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,3,supervised learning 2,other->ml,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,4,unsupervised learning 1,other->ml,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,5,"homework 1 walkthrough, Q&A",none,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,6,talk: from heatmaps to structural and counterfactual explanations,other,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,7,unsupervised learning 2,other->ml,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,8,"attacks at decision time: evasion attacks, anomaly detection",security->evasion->attack,security->evasion->defense,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,9,modeling decision time attacks,security->evasion->attack,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,10,white-box/black-box decision-time attacks and physical attacks,security->evasion->attack,threat model->physical,knowledge-black-box,knowledge-white-box,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,11,"homework 2 walkthrough, Q&A",none,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,12,defending against decision-time attacks,security->evasion->defense,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,13,defending against decision-time attacks 2,security->evasion->defense->certified,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,14,midterm exam,none,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,15,knowledge enriched robust learning models,other->ml,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,16,defending against decision-time attacks: adversarial retraining,security->evasion->defense->heuristic,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,17,data poisoning ,security->poisoning->general->defense,architecture->svm,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,18,defending against poisoning attacks,security->poisoning->general->attack,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,19,trustworthy federated learning: certified robust fed. learning,trustworthy,threat model->federated learning,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,20,"privacy in trustworthy machine learning: membership attacks, model inversion attacks",privacy->membership inference->attack,privacy->Data Extraction/Data Reconstruction/Model Inversion->attack,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,21,guest lecture,none,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,22,"homework 3 walkthrough, Q&A",none,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,23,Differentially Private Machine Learning,privacy->differential privacy->defense,architecture->generative ai,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,24,guest lecture,none,,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,25,trustworhty generative models,trustworthy,architecture->generative ai,,,
6,Bo Li,,Trustworthy Machine Learning,undergraduate,,,,,26,trustworthy foundation models,trustworthy,architecture->llm/foundation,,,
7,Bo Li,Advanced Topics in Security Privacy and Machine Learning22-FL,Advanced Topics in Security Privacy and Machine Learning,graduate,https://aisecure.github.io/TEACHING/CS562/CS562.html,22-FL,TRUE,Advanced Topics in Security Privacy and Machine Learning22-FL,1,course overview,security,privacy,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,2,evasion attacks against machine learning models,security->evasion->attack,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,3,evasion attacks against machine learning models,threat model->physical,security->evasion->attack,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,4,evasion attacks against machine learning models,security->evasion->attack,architecture->reinforcement learning,architecture->generative ai,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,5,evasion attacks against machine learning models (blackbox attacks),knowledge-black-box,security->evasion->attack,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,6,Guest Lecture,none,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,7,Detection Against Adversarial Attacks,security->evasion->defense->heuristic,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,8,defenses against adversarial attacks (empirical),security->evasion->defense->heuristic,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,9,defenses against adversarial attacks (theoretic),security->evasion->defense->certified,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,10,poisoning attacks against machine learning models,security->poisoning->attack,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,11,Proposal report,none,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,12,Guest Lecture,security->evasion,security->poisoning->backdoor,privacy->machine unlearning,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,13,Poisoning Attack Analysis,security->poisoning->general->attack,security->poisoning->backdoor->attack,security->poisoning->general->defense,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,14,Guest Lecture,other->ml,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,15,Defenses Against Poisoning Attacks,security->poisoning->general->defense->certified,security->poisoning->general->defense,security->poisoning->backdoor->defense->certified,threat->federated learning,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,16,(Robust) Data Valuation,valid,knowledge-black-box,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,17,robustness of graph neural networks,security->evasion->defense,architecure->graph-nn,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,18,guest lecture,safety    ,threat model->knowledge black-box,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,19,Beyond Images: Adversarial Attacks on NLP/Audio/Video/Graphs,security->evasion->attack,architecture->llm/foundation,architecure->graph-nn,security->poisoning->attack,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,20,Generative Adversarial Networks (Empirical),other,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,21,Generative Adversarial Networks (Theoretic),other,security->evasion->attack,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,22,Privacy in Machine Learning Models (Attacks),privacy->attack,privacy->membership inference,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,23,no class,none,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,24,Differentially Private Machine Learning Models,privacy->differential privacy->defense,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,25,Differential Privacy on Graphs,privacy->differential privacy->defense,architecure->graph,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,26,Fairness of Machine Learning,fairness,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,27,fall break,none,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,28,Game Theoretic Analysis for Adversarial Learning,security,,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,29,Robust Reinforcement Learning and Improve learning robustness with unlabeled data (Part 1),security,architecture->reinforcement learning,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,30,Robust Reinforcement Learning and Improve learning robustness with unlabeled data (Part 2),security,architecture->reinforcement learning,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,31,Robustness In Distributed Learning,security,threat model->federated learning,,,
7,Bo Li,,Advanced Topics in Security Privacy and Machine Learning,graduate,,,,,32,Final Report,none,,,,
8,Ting Wang,Adversarial Machine Learning24-SP,Adversarial Machine Learning,graduate,https://docs.google.com/spreadsheets/d/1Ur5lj63Eg8v9mmUstGAQO9hzaecZ7_2-ifA85WxSbfQ/edit?gid=0#gid=0,24-SP,TRUE,CS590.02 Adversarial Machine Learning Presentation Schedule (1).xlsx,1,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,2,,other,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,3,,security->evasion->attack,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,4,,security->evasion->attack,threat model->physical,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,5,,security->evasion->attack,threat model->physical,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,6,,security->evasion->defense->certified,security->evasion->attack,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,7,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,8,,security->evasion->defense->certified,security->evasion->defense->heuristic,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,9,,security->poisoning->general->attack,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,10,,security->poisoning->general->defense,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,11,,security->poisoning->backdoor->attack,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,12,,security->poisoning->backdoor->defense,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,13,,security->poisoning->backdoor->attack,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,14,,security->membership inference->attack,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,15,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,16,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,17,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,18,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,19,,security->poisoning->backdoor->attack,architecture->self-supervised learning,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,20,,architecture->graph-nn,security->poisoning->backdoor->attack,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,21,,threat->federated learning,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,22,,threat->federated learning,security->poisoning->general->attack,privacy->Data Extraction/Data Reconstruction/Model Inversion->attack,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,23,,other,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,24,,security->evasion->defense->certified,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,25,,other,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,26,,architecture->llm/foundation,safety,security->evasion->attack,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,27,,architecture->llm/foundation,accountability,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,28,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,29,,none,,,,
8,Ting Wang,,Adversarial Machine Learning,graduate,,,,,30,,none,,,,
9,Jinyuan Jia,Overview of Information Security25-SP,Overview of Information Security,undergraduate,https://jinyuan-jia.github.io/teaching/25Spring-SRA221,25-SP,recoded,Overview of Information Security25-SP,1,course introduction,other->sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,2,overview of information security,other->sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,3,intro to lab environments,other,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,4,security principles,other->sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,5,software security,other->software sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,6,malware,other->malware,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,7,web security,other->web sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,8,networrk security ,other->network sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,9,exam 1 review,none,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,10,exam,none,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,11,cryptography basics,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,12,cryptography basics,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,13,symmetric cryptography,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,14,symmetric cryptography,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,15,pub key infra 1,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,16,pub key infra 2,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,17,hash & exam 2 review,other->cryptography,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,18,exam 2,none,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,19,access control,other->access control,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,20,access control,other->access control,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,21,machine learning and security,general ml & sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,22,machine learning and security,general ml & sec,,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,23,LLM Security,security,architecture->llm/foundation,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,24,LLM Security,security,architecture->llm/foundation,,,
9,Jinyuan Jia,,Overview of Information Security,undergraduate,,,,,25,Data Privacy 1,other->priv,,,,
