author,2020,2021,2022,2023,2024
Alex Kurakin,2,0,0,0,0
Nicolas Papernot,2,4,4,2,0
Erwin Quiring,2,0,2,2,0
David Klein,2,0,0,0,0
Daniel Arp,2,0,2,0,0
Martin Johns,2,0,0,0,0
Konrad Rieck,2,0,2,4,0
Jinfeng Li,2,4,0,0,0
Tianyu Du,2,2,0,2,2
Rong Zhang,2,0,0,0,0
Quan Lu,2,0,0,0,0
Fan Yao,2,0,2,0,2
Adnan Siraj Rakin,2,2,2,0,4
Deliang Fan,2,2,2,0,2
Klas Leino,2,0,0,0,0
Matt Fredrikson,2,0,0,0,0
Minghong Fang,2,2,0,0,2
Xiaoyu Cao,2,2,2,2,0
Jinyuan Jia,2,4,8,6,10
Neil Zhenqiang Gong,2,8,8,10,10
Duocai Wu,2,0,0,0,0
Qifan Xiao,2,0,0,2,0
Ningfei Wang,2,4,2,0,0
Mengjia Yan,2,0,0,0,0
Christopher W. Fletcher,2,0,0,0,0
Josep Torrellas,2,0,0,0,0
Yizheng Chen,2,4,0,0,0
Shiqi Wang,2,4,0,0,0
Dongdong She,2,0,0,0,0
Suman Jana,2,4,0,0,2
Yuxuan Chen,2,0,0,0,0
Xuejing Yuan,2,0,0,0,0
Jiangshan Zhang,2,0,0,2,0
Yue Zhao,2,2,0,0,4
Shengzhi Zhang,2,2,0,4,4
Kai Chen,2,4,2,10,12
XiaoFeng Wang,2,2,2,0,8
Muhammad Ejaz Ahmed,2,0,0,0,0
Il-Youp Kwak,2,0,0,0,0
Jun Ho Huh,2,0,0,0,0
Iljoo Kim,2,0,0,0,0
Taekkyung Oh,2,0,0,0,0
Hyoungshick Kim,2,0,2,0,2
Brian Kondracki,0,2,0,0,0
Babak Amin Azad,0,2,0,0,0
Oleksii Starov,0,2,0,0,0
Nick Nikiforakis,0,2,0,0,0
Yihe Zhang,0,2,0,0,0
Xu Yuan,0,2,0,0,0
Jin Li,0,2,0,2,0
Jiadong Lou,0,2,0,0,0
Li Chen,0,2,0,0,0
Nian-Feng Tzeng,0,2,0,0,0
Licheng Luo,0,2,2,0,0
Baolin Zheng,0,2,0,0,0
Peipei Jiang,0,2,0,0,4
Qian Wang,0,2,2,4,10
Chao Shen,0,2,4,4,6
Cong Wang,0,2,2,0,4
Yunjie Ge,0,2,0,0,6
Qingyang Teng,0,2,0,0,0
Shenyi Zhang,0,2,0,0,4
Jiaming Mu,0,2,0,0,0
Binghui Wang,0,2,0,0,8
Mingwei Xu,0,2,0,0,2
Zhuotao Liu,0,2,0,2,6
Alireza Bahramali,0,4,0,2,0
Milad Nasr,0,4,4,2,2
Amir Houmansadr,0,6,4,4,0
Dennis Goeckel,0,2,0,0,0
Don Towsley,0,2,0,0,0
Hong Zhu,0,2,0,2,0
Max Bronckers,0,2,0,0,0
Christian Cianfarani,0,2,0,0,0
Jenna Cryan,0,2,0,2,0
Angela Sha,0,2,0,0,0
Tong Zhu,0,2,0,0,0
Yan Meng,0,4,0,0,0
Haotian Hu,0,2,0,0,0
Xiaokuan Zhang,0,2,0,0,0
Minhui Xue,0,6,0,8,20
Haojin Zhu,0,6,0,0,4
Yue Qin,0,2,0,2,0
Xiaojing Liao,0,2,0,2,6
David A. Wagner,0,2,0,0,0
Ryan Sheatsley,0,2,0,2,0
Blaine Hoak,0,2,0,2,0
Eric Pauley,0,2,0,2,0
Yohan Beugin,0,2,0,0,0
Michael J. Weisman,0,2,0,0,0
Patrick D. McDaniel,0,2,0,2,0
Lujia Shen,0,4,0,0,2
Yao Zhang,0,2,0,0,0
Jie Shi,0,4,0,2,2
Chengfang Fang,0,4,0,2,0
Jianwei Yin,0,4,2,2,0
Linyi Li,0,2,0,2,0
Maurice Weber,0,2,0,2,0
Xiaojun Xu,0,4,0,4,0
Luka Rimanic,0,4,0,0,0
Bhavya Kailkhura,0,2,0,0,0
Tao Xie,0,2,0,2,0
Ce Zhang,0,4,2,2,0
Mohammad Malekzadeh,0,2,0,0,0
Anastasia Borovykh,0,2,0,0,0
Deniz Gündüz,0,2,0,0,0
Xinlei He,0,4,8,2,6
Minxing Zhang,0,2,0,0,0
Zhaochun Ren,0,2,0,0,0
Zihan Wang,0,2,0,0,2
Pengjie Ren,0,2,0,0,0
Zhumin Chen,0,2,0,0,0
Pengfei Hu,0,2,0,0,2
Zheng Li,0,2,2,4,8
Min Chen,0,2,4,2,2
Zhikun Zhang,0,2,8,2,6
Tianhao Wang,0,2,2,6,4
Michael Backes,0,4,16,8,18
Mathias Humbert,0,2,0,0,2
Yanjiao Chen,0,2,4,10,10
Yijie Bai,0,2,0,4,4
Richard Mitev,0,2,0,0,0
Kaibo Wang,0,2,0,0,0
Ahmad-Reza Sadeghi,0,2,4,2,12
Wenyuan Xu,0,4,4,18,20
Cong Shi,0,2,0,0,0
Tianfang Zhang,0,2,0,0,0
Yi Xie,0,2,0,0,0
Wei Wang,0,2,0,0,4
Yao Yao,0,2,0,0,0
Xin Liu,0,2,0,0,0
Xiang Li,0,2,0,0,0
Pei Hao,0,2,0,0,0
Ting Zhu,0,2,0,0,2
Yi Zhu,0,2,0,2,2
Chenglin Miao,0,2,0,2,0
Tianhang Zheng,0,2,0,0,0
Foad Hajiaghajani,0,2,0,0,0
Lu Su,0,2,0,2,0
Chunming Qiao,0,2,0,2,2
Hongbin Liu,0,2,4,0,2
Wenjie Qu,0,2,0,2,0
Aoting Hu,0,2,0,0,0
Renjie Xie,0,2,0,0,2
Zhigang Lu,0,2,0,0,0
Aiqun Hu,0,2,0,0,0
Dario Pasquini,0,2,2,2,0
Giuseppe Ateniese,0,2,2,0,0
Massimo Bernaschi,0,2,0,0,0
Sina Sajadmanesh,0,2,0,0,0
Daniel Gatica-Perez,0,2,0,0,0
Boxin Wang,0,2,0,0,0
Fan Wu,0,2,2,0,0
Yunhui Long,0,2,2,2,0
Hailong Hu,0,2,0,0,0
Jun Pang,0,2,0,0,0
Naureen Hoque,0,2,0,0,0
Hanif Rahbari,0,2,0,0,0
Brandon Falk,0,2,0,0,0
Yuxia Zhan,0,2,0,0,0
Christian Ryan,0,2,0,0,0
Sharmishtha Dutta,0,2,0,0,0
Youngja Park,0,2,0,0,0
Nidhi Rastogi,0,2,0,0,0
Eujeanne Kim,0,2,0,0,0
Sung-Jun Park,0,2,0,0,0
Seokwoo Choi,0,2,0,0,0
Dong-Kyu Chae,0,2,0,0,0
Sang-Wook Kim,0,2,2,0,0
Nazir Saleheen,0,2,0,0,0
Md. Azim Ullah,0,2,0,0,0
Supriyo Chakraborty,0,2,0,0,0
Deniz S. Ones,0,2,0,0,0
Mani B. Srivastava,0,2,0,0,0
Santosh Kumar,0,2,0,0,0
Giorgio Severi,0,4,0,0,2
Niklas Pousette Harger,0,2,0,0,0
Alina Oprea,0,6,0,2,2
Shaofeng Li,0,2,0,0,2
Hui Liu,0,2,0,0,0
Tian Dong,0,2,0,0,2
Jialiang Lu,0,2,0,0,0
Xuhong Zhang,0,2,4,4,2
Jing Chen,0,2,0,0,0
Chaoxiang He,0,2,0,0,2
Bin Benjamin Zhu,0,2,0,0,0
Xiaojing Ma,0,2,0,2,2
Hai Jin,0,2,0,2,6
Shengshan Hu,0,2,0,0,6
Chong Xiang,0,4,2,2,2
Prateek Mittal,0,6,4,4,2
Dongqi Han,0,2,0,2,0
Zhiliang Wang,0,2,0,2,0
Wenqi Chen,0,2,0,2,0
Ying Zhong,0,2,0,0,0
Su Wang,0,2,0,0,0
Han Zhang,0,2,0,0,0
Jiahai Yang,0,2,0,2,0
Xingang Shi,0,2,0,2,0
Xia Yin,0,2,0,2,0
Kaifa Zhao,0,2,2,0,0
Hao Zhou,0,2,0,0,0
Yulin Zhu,0,2,0,0,2
Xian Zhan,0,2,0,0,0
Kai Zhou,0,2,0,0,4
Jianfeng Li,0,2,2,0,0
Le Yu,0,2,2,0,0
Wei Yuan,0,2,0,2,0
Chuanpu Fu,0,2,0,2,0
Meng Shen,0,2,0,0,2
Ke Xu,0,2,2,4,12
Charlie Hou,0,2,0,0,0
Mingxun Zhou,0,2,0,0,0
Yan Ji,0,2,0,0,0
Phil Daian,0,2,0,0,0
Florian Tramèr,0,4,6,4,6
Giulia Fanti,0,2,0,0,0
Ari Juels,0,2,0,0,0
Jiayun Xu,0,2,0,0,0
Yingjiu Li,0,2,0,0,0
Robert H. Deng,0,2,0,0,0
Bo Hui,0,2,0,0,4
Yuchen Yang,0,2,0,0,4
Haolin Yuan,0,2,0,0,4
Philippe Burlina,0,2,0,0,2
Junjie Liang,0,2,0,0,0
Wenbo Guo,0,6,0,2,2
Tongbo Luo,0,2,0,0,0
Vasant G. Honavar,0,2,0,0,0
Xinyu Xing,0,6,0,2,2
Sinem Sav,0,2,0,0,0
Apostolos Pyrgelis,0,2,0,0,0
Juan Ramón Troncoso-Pastoriza,0,2,0,0,0
David Froelicher,0,2,0,0,0
Jean-Philippe Bossuat,0,2,0,0,0
Joao Sa Sousa,0,2,0,0,0
Jean-Pierre Hubaux,0,2,0,0,0
Jia Liu,0,2,0,0,2
Virat Shejwalkar,0,2,4,2,0
Qi Wang,0,2,0,0,2
Huichen Li,0,2,0,0,0
Nikita Borisov,0,2,0,0,0
Carl A. Gunter,0,2,0,2,0
Xiaoyu Ji,0,2,2,14,14
Yushi Cheng,0,2,0,8,6
Yuepeng Zhang,0,2,0,0,0
Kai Wang,0,2,0,2,0
Chen Yan,0,2,2,6,6
Kevin Fu,0,2,0,0,0
Chaowei Xiao,0,2,0,4,2
Dawei Yang,0,2,0,0,0
Jin Fang,0,2,0,0,0
Ruigang Yang,0,2,0,0,0
Mingyan Liu,0,2,0,0,0
Guangke Chen,0,2,0,2,2
Sen Chen,0,2,0,0,0
Lingling Fan,0,2,0,0,0
Xiaoning Du,0,2,0,0,0
Zhe Zhao,0,2,0,2,2
Fu Song,0,2,0,2,2
Yang Liu,0,2,0,0,4
Hadi Abdullah,0,4,2,2,0
Muhammad Sajidur Rahman,0,2,0,2,0
Washington Garcia,0,2,0,0,0
Kevin Warren,0,4,2,0,4
Anurag Swarnim Yadav,0,2,0,0,0
Tom Shrimpton,0,2,0,0,0
Patrick Traynor,0,4,2,2,4
Vincent Bindschaedler,0,2,2,2,0
Albert Cheu,0,2,0,0,0
Adam D. Smith,0,2,0,0,0
Jonathan R. Ullman,0,2,0,2,0
Jim Meyer,0,2,0,0,0
Scott E. Coull,0,2,0,0,0
Eugene Bagdasaryan,0,2,2,0,2
Zhaohan Xi,0,2,4,2,2
Di Tang,0,2,2,2,4
Haixu Tang,0,2,0,2,4
Kehuan Zhang,0,2,0,0,0
Giulio Lovisotto,0,2,0,0,0
Henry Turner,0,2,0,0,0
Ivo Sluganovic,0,2,0,0,0
Martin Strohmeier,0,2,0,0,0
Ivan Martinovic,0,2,0,0,0
Xian Wu,0,2,0,2,0
Hua Wei,0,2,0,0,0
Yingzhe He,0,2,0,0,0
Guozhu Meng,0,2,2,4,6
Xingbo Hu,0,2,0,0,0
Jinwen He,0,2,0,2,2
Yukui Luo,0,2,0,0,4
Xiaolin Xu,0,2,0,0,4
Hengrui Jia,0,2,0,0,0
Christopher A. Choquette-Choo,0,2,0,0,4
Zhichuang Sun,0,2,0,0,0
Ruimin Sun,0,2,0,0,2
Long Lu,0,2,0,0,0
Alan Mislove,0,2,0,0,0
Arjun Nitin Bhagoji,0,2,2,0,0
Vikash Sehwag,0,2,0,2,0
Ahmadreza Azizi,0,2,0,0,0
Ibrahim Asadullah Tahmid,0,2,0,0,0
Asim Waheed,0,2,0,0,2
Neal Mangaokar,0,2,0,2,0
Mobin Javed,0,2,0,2,0
Chandan K. Reddy,0,2,0,0,0
Shehzeen Hussain,0,2,0,0,0
Paarth Neekhara,0,2,0,0,2
Shlomo Dubnov,0,2,0,0,0
Julian J. McAuley,0,2,0,0,0
Farinaz Koushanfar,0,2,2,0,2
Weifan Jiang,0,2,0,0,0
Asaf Cidon,0,2,0,0,0
Thorsten Eisenhofer,0,2,0,2,0
Lea Schönherr,0,2,0,0,0
Joel Frank,0,2,0,0,0
Lars Speckemeier,0,2,0,0,0
Dorothea Kolossa,0,2,0,0,0
Thorsten Holz,0,2,0,2,0
Limin Yang,0,2,0,4,0
Arridhana Ciptadi,0,2,0,2,0
Ali Ahmadzadeh,0,2,0,2,0
Xueyuan Han,0,2,0,2,0
Xiao Yu,0,2,0,0,0
Thomas F. J.-M. Pasquier,0,2,0,0,0
Ding Li,0,2,0,0,4
Junghwan Rhee,0,2,0,0,0
James W. Mickens,0,2,0,0,0
Margo I. Seltzer,0,2,0,0,0
Haifeng Chen,0,2,0,0,0
Liwei Song,0,2,2,0,0
Eric Wallace,0,2,0,2,2
Ariel Herbert-Voss,0,2,0,0,0
Katherine Lee,0,2,0,0,0
Adam Roberts,0,2,0,0,0
Tom B. Brown,0,2,0,0,0
Dawn Song,0,2,0,2,2
Úlfar Erlingsson,0,2,0,0,0
Colin Raffel,0,2,0,0,0
Wanrong Zhang,0,2,0,0,0
Pengfei Jing,0,2,0,0,0
Qiyi Tang,0,2,0,0,0
Yuefeng Du,0,2,0,0,0
Lei Xue,0,2,2,0,0
Sen Nie,0,2,0,0,0
Shi Wu,0,2,0,0,0
Yipeng Gao,0,2,0,0,0
Haichang Gao,0,2,0,0,0
Sainan Luo,0,2,0,0,0
Yang Zi,0,2,0,0,0
Shudong Zhang,0,2,0,0,0
Wenjie Mao,0,2,0,0,0
Ping Wang,0,2,0,0,0
Yulong Shen,0,2,0,0,0
Jeff Yan,0,2,0,0,0
Takami Sato,0,2,4,0,4
Yunhan Jia,0,2,0,0,0
Xue Lin,0,2,0,2,0
Erin Avllazagaj,0,2,0,0,0
Ziyun Zhu,0,2,0,0,0
Leyla Bilge,0,2,0,0,0
Tudor Dumitras,0,2,0,0,0
Bhupendra Acharya,0,2,0,0,0
Phani Vadrevu,0,2,0,0,0
Teng Xu,0,2,0,0,0
Gerard Goossen,0,2,0,0,0
Huseyin Kerem Cevahir,0,2,0,0,0
Sara Khodeir,0,2,0,0,0
Yingyezhe Jin,0,2,0,0,0
Frank Li,0,2,0,0,0
Sagar Patel,0,2,0,0,0
David Freeman,0,2,0,0,0
Paul Pearce,0,2,0,0,0
Teodora Baluta,0,0,4,2,0
Shiqi Shen,0,0,2,0,0
S. Hitarth,0,0,2,0,0
Prateek Saxena,0,0,4,2,2
Tianshuo Cong,0,0,2,0,2
Ana-Maria Cretu,0,0,4,2,0
Florimond Houssiau,0,0,2,0,0
Antoine Cully,0,0,2,2,0
Yves-Alexandre de Montjoye,0,0,4,2,2
Jiangyi Deng,0,0,2,2,8
Zizhuang Deng,0,0,2,0,2
Xiaodong Zhang,0,0,2,0,0
Yao Cheng,0,0,2,0,0
Rui Duan,0,0,2,0,2
Zhe Qu,0,0,2,0,2
Shangqing Zhao,0,0,2,0,0
Leah Ding,0,0,2,0,2
Yao Liu,0,0,2,0,2
Zhuo Lu,0,0,2,0,2
Yuyou Gan,0,0,2,0,0
Yuhao Mao,0,0,2,0,0
Yuwen Pu,0,0,2,0,4
Meng Han,0,0,2,0,0
Yuanda Wang,0,0,2,0,0
Nikolay Ivanov,0,0,2,0,0
Li Xiao,0,0,2,0,0
Zayd Hammoudeh,0,0,2,0,0
Daniel Lowd,0,0,2,0,0
Hai Huang,0,0,2,0,0
Yun Shen,0,0,10,4,10
Bargav Jayaraman,0,0,2,0,2
Seulbae Kim,0,0,2,0,0
Major Liu,0,0,2,0,0
Junghwan John Rhee,0,0,2,0,0
Yuseok Jeon,0,0,4,0,0
Yonghwi Kwon,0,0,4,0,0
Chung Hwan Kim,0,0,2,0,0
Taeri Kim,0,0,2,0,0
Noseong Park,0,0,2,0,0
Jiwon Hong,0,0,2,0,0
Aashish Kolluri,0,0,2,0,2
Bryan Hooi,0,0,2,0,0
Yiyong Liu,0,0,4,0,0
Han Liu,0,0,2,0,2
Zhiyuan Yu,0,0,2,4,8
Mingming Zha,0,0,2,0,0
William Yeoh,0,0,2,0,0
Jiawei Liu,0,0,2,0,0
Yangyang Kang,0,0,2,0,0
Kaisong Song,0,0,2,0,0
Changlong Sun,0,0,2,0,0
Xiaofeng Wang,0,0,2,2,2
Wei Lu,0,0,2,0,0
Xiaozhong Liu,0,0,2,0,2
Shunchang Liu,0,0,2,0,0
Jiakai Wang,0,0,2,2,2
Aishan Liu,0,0,2,2,2
Yingwei Li,0,0,2,0,0
Yijie Gao,0,0,2,0,0
Xianglong Liu,0,0,2,2,2
Dacheng Tao,0,0,2,2,0
Zhengyu Zhao,0,0,2,0,0
Yupei Liu,0,0,6,2,2
Zeyan Liu,0,0,2,0,4
Fengjun Li,0,0,2,0,4
Zhu Li,0,0,2,0,0
Xinjian Luo,0,0,2,0,0
Yangfan Jiang,0,0,2,0,0
Xiaokui Xiao,0,0,4,0,0
Samuel Maddock,0,0,2,0,0
Graham Cormode,0,0,2,0,0
Carsten Maple,0,0,2,0,0
Raymond Muller,0,0,2,4,2
Yanmao Man,0,0,2,2,2
Z. Berkay Celik,0,0,2,4,4
Ming Li,0,0,4,2,4
Ryan M. Gerdes,0,0,2,2,2
Mohammad Naseri,0,0,4,0,2
Yufei Han,0,0,6,2,2
Enrico Mariconti,0,0,2,0,0
Gianluca Stringhini,0,0,6,0,2
Emiliano De Cristofaro,0,0,8,0,4
Danilo Francati,0,0,2,0,0
Amrita Roy Chowdhury,0,0,2,0,0
Chuan Guo,0,0,2,0,0
Laurens van der Maaten,0,0,2,0,0
Wenxin Ding,0,0,2,0,4
Ting Yu,0,0,2,0,0
Wai Man Si,0,0,2,2,0
Jeremy Blackburn,0,0,2,0,0
Savvas Zannettou,0,0,2,0,0
Reza Shokri,0,0,4,0,2
Ayrton San Joaquin,0,0,2,0,0
Hoang Le,0,0,2,0,0
Sanghyun Hong,0,0,2,0,0
Xiuling Wang,0,0,2,0,2
Wendy Hui Wang,0,0,2,0,2
Jianxin Wei,0,0,2,0,0
Ergute Bao,0,0,2,0,0
Yin Yang,0,0,2,0,0
Jiayuan Ye,0,0,2,0,2
Aadyaa Maddi,0,0,2,0,0
Sasi Kumar Murakonda,0,0,2,0,0
Gorka Abad,0,0,2,0,2
Oguzhan Ersoy,0,0,2,0,2
Víctor Julio Ramírez-Durán,0,0,2,0,0
Aitor Urbieta,0,0,2,0,2
Roger A. Hallman,0,0,2,0,0
Nur Imtiazul Haque,0,0,2,0,0
Maurice Ngouen,0,0,2,0,0
Yazen Al-Wahadneh,0,0,2,0,0
Mohammad Ashiqur Rahman,0,0,2,0,0
Kiho Lee,0,0,2,0,4
Sanghak Oh,0,0,2,0,2
Chuyen Nguyen,0,0,2,0,0
Caleb Morgan,0,0,2,0,0
Sudip Mittal,0,0,2,0,0
Rajvardhan Oak,0,0,2,0,0
Leo Hyun Park,0,0,2,0,0
Jaewoo Park,0,0,2,0,0
Soochang Chung,0,0,2,0,0
Jaeuk Kim,0,0,2,0,0
Myung Gyo Oh,0,0,2,0,0
Taekyoung Kwon,0,0,2,0,0
Yuki Hayakawa,0,0,2,0,2
Ryo Suzuki,0,0,2,0,2
Yohsuke Shiiki,0,0,2,0,2
Kentaro Yoshioka,0,0,2,0,2
Yunpeng Luo,0,0,2,0,0
Kaidi Xu,0,0,2,0,0
Jing Xu,0,0,2,0,0
Xinyun Chen,0,0,2,0,2
Guanhong Tao,0,0,6,8,12
Qiuling Xu,0,0,4,6,2
Guangyu Shen,0,0,6,8,10
Shengwei An,0,0,6,8,6
Jingwei Xu,0,0,2,0,0
Yuan Yao,0,0,2,2,0
Jamie Hayes,0,0,4,2,0
Phillip Rieger,0,0,4,2,6
Thien Duc Nguyen,0,0,4,0,0
Markus Miettinen,0,0,4,0,2
Ziwen Wan,0,0,2,0,0
Jalen Chuang,0,0,2,0,0
Xin Xia,0,0,2,0,0
Joshua Garcia,0,0,2,0,0
Jiaqi Ma,0,0,2,0,0
Ziqi Xu,0,0,2,0,0
Jingcheng Li,0,0,2,0,0
Yanjun Pan,0,0,2,0,0
Loukas Lazos,0,0,2,0,0
Nirnimesh Ghose,0,0,2,0,0
Yijun Yang,0,0,2,0,0
Ruiyuan Gao,0,0,2,0,0
Qiuxia Lai,0,0,2,0,0
Wei Jia,0,0,2,0,0
Zhaojun Lu,0,0,2,0,0
Haichun Zhang,0,0,2,0,0
Zhenglin Liu,0,0,2,0,0
Jie Wang,0,0,2,0,2
Gang Qu,0,0,2,0,0
Gonzalo De La Torre Parra,0,0,2,0,0
Luis Selvera,0,0,2,0,0
Joseph Khoury,0,0,2,0,0
Hector Irizarry,0,0,2,0,0
Elias Bou-Harb,0,0,2,0,0
Paul Rad,0,0,2,0,0
Xueluan Gong,0,0,2,6,2
Jianshuo Dong,0,0,2,2,0
Viet Quoc Vo,0,0,2,0,0
Ehsan Abbasnejad,0,0,2,0,0
Damith C. Ranasinghe,0,0,2,0,0
Junhao Zhou,0,0,2,0,0
Yufei Chen,0,0,4,0,0
Ahmed Salem,0,0,4,8,0
Maria Leonor Pacheco,0,0,2,0,0
Max von Hippel,0,0,2,0,0
Ben Weintraub,0,0,2,0,0
Dan Goldwasser,0,0,2,0,0
Cristina Nita-Rotaru,0,0,2,0,0
Hammond Pearce,0,0,2,0,2
Baleegh Ahmad,0,0,2,0,0
Benjamin Tan,0,0,2,0,0
Brendan Dolan-Gavitt,0,0,2,0,0
Ramesh Karri,0,0,2,0,0
Nils Lukas,0,0,2,4,0
Edward Jiang,0,0,2,0,0
Xinda Li,0,0,2,0,0
