Class_Id,code_parts,count
38.0,ml,28
38.0,other,28
38.0,safety,1
39.0,ml,27
39.0,none,2
39.0,other,27
40.0,>app,1
40.0,crypto,1
40.0,malware,1
40.0,net,1
40.0,net sec,1
40.0,none,2
40.0,other,9
40.0,sec,3
40.0,software sec,1
41.0,ml,16
41.0,none,4
41.0,other,16
42.0,ml,27
42.0,none,3
42.0,other,27
43.0,attack,1
43.0,evasion,1
43.0,fairness,1
43.0,ml,26
43.0,other,26
43.0,security,1
44.0,app,1
44.0,ml,11
44.0,none,2
44.0,other,12
45.0,Data Extraction/Data Reconstruction/Model Inversion,1
45.0,architecture,2
45.0,attack,7
45.0,defense,6
45.0,differential privacy,1
45.0,fairness,2
45.0,general,1
45.0,llm/foundation,2
45.0,machine unleraning,1
45.0,membership inference,1
45.0,ml,6
45.0,none,5
45.0,other,6
45.0,poisoning,1
45.0,privacy,5
45.0,prompt injection,1
45.0,security,10
45.0,stealing/model extraction,1
45.0,trustworthy,2
45.0,valid,1
46.0,attack,1
46.0,defense,1
46.0,explainability,1
46.0,knowledge-black-box,1
46.0,knowledge-white-box,1
46.0,ml,3
46.0,none,2
46.0,other,3
46.0,prviacy,2
46.0,security,4
46.0,trustworthy,2
47.0,ml,8
47.0,none,2
47.0,other,8
47.0,privacy,1
47.0,security,1
48.0,attack,1
48.0,defense,2
48.0,explainability,1
48.0,knowledge-black-box,1
48.0,knowledge-white-box,1
48.0,none,3
48.0,physical,1
48.0,privacy,2
48.0,security,7
49.0,ml,16
49.0,other,16
